title,year,Best Supporting Female,Best Screenplay,Best Feature,Best Male Lead,"Best First Feature - Under $500,000",Best Debut Performance,Best Cinematography,Best International Film,Best Director,Best Documentary,Best Film Music,Best Foreign Film,"Best Feature - Under $500,000",Best Female Lead,Best First Screenplay,Best Supporting Male,Best First Feature,Best Editing,Best Original Score,"Best First Feature - Over $500,000"
The Sea Inside,2005,,,,,,,,,,,,Alejandro Amenábar,,,,,,,,
The Sessions,2013,Helen Hunt,,,John Hawkes,,,,,,,,,,,,,,,,
The Station Agent,2004,,,,,,,,,,,,,,,Tom McCarthy,,,,,
The Straight Story,2000,,,,Richard Farnsworth,,,,,,,,,,,,,,,,
The Sweet Hereafter,1998,,,,,,,,,,,,Atom Egoyan,,,,,,,,
The Trip to Bountiful,1986,,Horton Foote,,,,,,,,,,,,Geraldine Page,,,,,,
The Unbearable Lightness of Being,1989,,,,,,,Sven Nykvist,,,,,,,,,,,,,
The Usual Suspects,1996,,Christopher McQuarrie,,,,,,,,,,,,,,Benicio Del Toro,,,,
The Visitor,2009,,,,,,,,,Tom McCarthy,,,,,,,,,,,
The Waterdance,1993,,Neal Jimenez,,,,,,,,,,,,,,,"Neal Jimenez (director), Michael Steinberg (director), Gale Anne Hurd (producer), Marie Cantin (producer), Guy Riedel (executive producer)",,,
The Wife,2019,,,,,,,,,,,,,,Glenn Close,,,,,,
The Witch,2017,,,,,,,,,,,,,,,Robert Eggers,,"Robert Eggers, Daniel Bekerman, Jay Van Hoy, Lars Knudsen, Jodi Redmond, Rodrigo Teixeira",,,
The Wrestler,2009,,,"Darren Aronofsky, Scott Franklin",Mickey Rourke,,,Maryse Alberti,,,,,,,,,,,,,
Thirteen,2004,,,,,,Nikki Reed,,,,,,,,,,,,,,
"Three Billboards Outside Ebbing, Missouri",2018,,,,,,,,,,,,,,Frances McDormand,,Sam Rockwell,,,,
Three Colours: Red,1995,,,,,,,,,,,,Krzysztof Kieslowski,,,,,,,,
Tiny Furniture,2011,,,,,,,,,,,,,,,Lena Dunham,,,,,
To Sleep with Anger,1991,Sheryl Lee Ralph,Charles Burnett,,Danny Glover,,,,,Charles Burnett,,,,,,,,,,,
Toni Erdmann,2017,,,,,,,,Maren Ade,,,,,,,,,,,,
Transamerica,2006,,,,,,,,,,,,,,Felicity Huffman,Duncan Tucker,,,,,
Tres estaciones,2000,,,,,,,Lisa Rinzler,,,,,,,,,,,,,
Trouble in Mind,1986,,,,,,,Toyomichi Kurita,,,,,,,,,,,,,
Tumbleweeds,2000,,,,,,Kimberly J. Brown,,,,,,,,,,,,,,
Twenty Bucks,1994,,,,,,,,,,,,,,,,Christopher Lloyd,,,,
Twenty Feet from Stardom,2014,,,,,,,,,,"Morgan Neville (director/producer), Gil Friesen (producer), Caitrin Rogers (producer)",,,,,,,,,,
Twin Peaks: Fire Walk with Me,1993,,,,,,,,,,,,,,,,,,,Angelo Badalamenti,
Uncut Gems,2020,,,,Adam Sandler,,,,,"Benny Safdie, Josh Safdie",,,,,,,,,"Ronald Bronstein, Benny Safdie",,
Velvet Goldmine,1999,,,,,,,Maryse Alberti,,,,,,,,,,,,,
Vicky Cristina Barcelona,2009,Penélope Cruz,Woody Allen,,,,,,,,,,,,,,,,,,
Welcome to the Dollhouse,1997,,,,,,Heather Matarazzo,,,,,,,,,,,,,,
Whale Rider,2004,,,,,,,,,,,,Niki Caro,,,,,,,,
Whiplash,2015,,,,,,,,,,,,,,,,J.K. Simmons,,Tom Cross,,
Wild at Heart,1991,,,,,,,Frederick Elmes,,,,,,,,,,,,,
Wings of Desire,1989,,,,,,,,,,,,Wim Wenders,,,,,,,,
Winter's Bone,2011,,,,,,,,,,,,,,,,John Hawkes,,,,
Won't You Be My Neighbor?,2019,,,,,,,,,,"Morgan Neville, Caryn Capotosto, Nicholas Ma",,,,,,,,,,
Y tu mamá también,2003,,,,,,,,,,,,Alfonso Cuarón,,,,,,,,
You Can Count on Me,2001,,Kenneth Lonergan,,,,,,,,,,,,,,,"Kenneth Lonergan (director), John Hart (producer), Jeffrey Sharp (producer), Barbara De Fina (producer), Larry Meistrich (producer)",,,
You Were Never Really Here,2019,,,,,,,,,,,,,,,,,,Joe Bini,,
