title,year,stars
Kodachrome,2017,"Ed Harris, Jason Sudeikis, Elizabeth Olsen, Bruce Greenwood"
Woodshock,2017,"Kirsten Dunst, Joe Cole, Pilou Asbæk, Steph DuVall"
West of Sunshine,2017,"Damian Hill, Ty Perham, Arthur Angel, Kat Stewart"
American Renegades,2017,"J.K. Simmons, Sullivan Stapleton, Charlie Bewley, Sylvia Hoeks"
Death Note,2017,"Nat Wolff, LaKeith Stanfield, Margaret Qualley, Shea Whigham"
Jackals,2017,"Deborah Kara Unger, Ben Sullivan, Chelsea Ricketts, Nick Roux"
Logan Lucky,2017,"Channing Tatum, Adam Driver, Daniel Craig, Farrah Mackenzie"
6 Days,2017,"Jamie Bell, Mark Strong, Abbie Cornish, Martin Shaw"
Armed Response,2017,"Wesley Snipes, Anne Heche, Dave Annable, Colby Lopez"
Detroit,2017,"John Boyega, Anthony Mackie, Algee Smith, Jacob Latimore"
First Kill,2017,"Bruce Willis, Hayden Christensen, Ty Shelton, Megan Leonard"
Valerian and the City of a Thousand Planets,2017,"Dane DeHaan, Cara Delevingne, Clive Owen, Rihanna"
Mohawk,2017,"Kaniehtiio Horn, Ezra Buzzington, Eamon Farren, Justin Rain"
Anything,2017,"John Carroll Lynch, Matt Bomer, Maura Tierney, Margot Bingham"
China Salesman,2017,"Dong-xue Li, Mike Tyson, Janicke Askevold, Li Ai"
The Year of Spectacular Men,2017,"Madelyn Deutch, Jesse Bradford, Cameron Monaghan, Brandon T. Jackson"
And Then I Go,2017,"Arman Darbo, Melonie Diaz, Lucy Shepard, Tony Hale"
Becks,2017,"Lena Hall, Mena Suvari, Christine Lahti, Dan Fogler"
Ali's Wedding,2017,"Osamah Sami, Don Hany, Helana Sawires, Robert Rabiah"
The Hunter's Prayer,2017,"Sam Worthington, Odeya Rush, Allen Leech, Amy Landecker"
Good Time,2017,"Robert Pattinson, Benny Safdie, Jennifer Jason Leigh, Buddy Duress"
47 Meters Down,2017,"Mandy Moore, Claire Holt, Matthew Modine, Chris Johnson"
Kill Switch,2017,"Dan Stevens, Bérénice Marlohe, Tygo Gernandt, Charity Wakefield"
The Circle,2017,"Emma Watson, Tom Hanks, John Boyega, Ellar Coltrane"
Bombshell: The Hedy Lamarr Story,2017,"Hedy Lamarr, Mel Brooks, Jennifer Hom, Anthony Loder"
Sweet Virginia,2017,"Jon Bernthal, Christopher Abbott, Imogen Poots, Rosemarie DeWitt"
Aftermath,2017,"Arnold Schwarzenegger, Scoot McNairy, Maggie Grace, Judah Nelson"
Stratton,2017,"Dominic Cooper, Austin Stowell, Gemma Chan, Connie Nielsen"
Bomb City,2017,"Dave Davis, Glenn Morshower, Luke Shelton, Henry Knotts"
Mr. Roosevelt,2017,"Noël Wells, Nick Thune, Britt Lower, Daniella Pineda"
The Strange Ones,2017,"Alex Pettyfer, James Freedson-Jackson, Emily Althaus, Gene Jones"
68 Kill,2017,"Matthew Gray Gubler, AnnaLynne McCord, Alisha Boe, Sheila Vand"
Fist Fight,2017,"Ice Cube, Charlie Day, Tracy Morgan, Christina Hendricks"
Freak Show,2017,"Alex Lawther, Ian Nelson, AnnaSophia Robb, Celia Weston"
Wheeler,2017,"Stephen Dorff, Kris Kristofferson, Audrey Spillman, Bobby Tomberlin"
"No Date, No Signature",2017,"Navid Mohammadzadeh, Amir Aghaee, Hediyeh Tehrani, Zakieh Behbahani"
The Incredible Jessica James,2017,"Jessica Williams, Chris O'Dowd, LaKeith Stanfield, Noël Wells"
Band Aid,2017,"Zoe Lister-Jones, Adam Pally, Fred Armisen, Susie Essman"
Call Me by Your Name,2017,"Armie Hammer, Timothée Chalamet, Michael Stuhlbarg, Amira Casar"
Golden Exits,2017,"Emily Browning, Adam Horovitz, Mary-Louise Parker, Lily Rabe"
T2 Trainspotting,2017,"Ewan McGregor, Ewen Bremner, Jonny Lee Miller, Robert Carlyle"
Dim the Fluorescents,2017,"Claire Armstrong, Naomi Skwarna, Andreana Callegarini-Gradzik, Brendan Hobin"
Wind River,2017,"Kelsey Asbille, Jeremy Renner, Julia Jones, Teo Briones"
The Little Hours,2017,"Alison Brie, Dave Franco, Kate Micucci, Aubrey Plaza"
Contract to Kill,2016,"Steven Seagal, Russell Wong, Jemma Dallender, Mircea Drambareanu"
The Founder,2016,"Michael Keaton, Nick Offerman, John Carroll Lynch, Linda Cardellini"
Owaranai hito: Miyazaki Hayao,2016,"Hayao Miyazaki, Toshio Suzuki, Yuhei Sakuragi, Yukinori Nakamura"
The Comedian,2016,"Robert De Niro, Leslie Mann, Danny DeVito, Edie Falco"
My Dead Boyfriend,2016,"Heather Graham, Scott Michael Foster, Katherine Moennig, Griffin Dunne"
In This Corner of the World,2016,"Non, Ava Pickard, Kenna Pickard, Karen Strassman"
This Beautiful Fantastic,2016,"Mia Farkasovska, Jessica Brown Findlay, Anna Chancellor, Jeremy Irvine"
The Lost City of Z,2016,"Charlie Hunnam, Robert Pattinson, Sienna Miller, Tom Holland"
Billy Lynn's Long Halftime Walk,2016,"Joe Alwyn, Garrett Hedlund, Arturo Castro, Mason Lee"
Max Steel,2016,"Ben Winchell, Josh Brener, Maria Bello, Andy Garcia"
Mindhorn,2016,"Julian Barratt, Simon Farnaby, Essie Davis, Steve Coogan"
Letters From Baghdad,2016,"Tilda Swinton, Michael Higgs, Eric Loscheider, Rachael Stirling"
Autumn Lights,2016,"Guy Kent, Marta Gastini, Sveinn Ólafur Gunnarsson, Thora Bjorg Helga"
The Vessel,2016,"Lucas Quintana, Martin Sheen, Jacqueline Duprey, Aris Mejias"
Cardboard Boxer,2016,"Thomas Haden Church, Terrence Howard, Boyd Holbrook, Rhys Wakefield"
"All Governments Lie: Truth, Deception, and the Spirit of I.F. Stone",2016,"I.F. Stone, Chris Hedges, Leslie Moonves, Jeff Cohen"
Before the Flood,2016,"Leonardo DiCaprio, Ki-moon Ban, Alejandro G. Iñárritu, Mike Brune"
Catfight,2016,"Sandra Oh, Anne Heche, Alicia Silverstone, Amy Hill"
Colossal,2016,"Anne Hathaway, Jason Sudeikis, Austin Stowell, Tim Blake Nelson"
Free Fire,2016,"Sharlto Copley, Brie Larson, Armie Hammer, Cillian Murphy"
In Dubious Battle,2016,"Nat Wolff, James Franco, Vincent D'Onofrio, Selena Gomez"
Norman,2016,"Richard Gere, Lior Ashkenazi, Michael Sheen, Steve Buscemi"
Brimstone,2016,"Guy Pearce, Dakota Fanning, Emilia Jones, Carice van Houten"
Nocturnal Animals,2016,"Amy Adams, Jake Gyllenhaal, Michael Shannon, Aaron Taylor-Johnson"
Morgan,2016,"Kate Mara, Anya Taylor-Joy, Rose Leslie, Michael Yare"
USS Indianapolis: Men of Courage,2016,"Nicolas Cage, Tom Sizemore, Thomas Jane, Matt Lanter"
Mechanic: Resurrection,2016,"Jason Statham, Jessica Alba, Tommy Lee Jones, Michelle Yeoh"
The Girl with All the Gifts,2016,"Sennia Nanua, Fisayo Akinade, Dominique Tipper, Paddy Considine"
Shin Godzilla,2016,"Hiroki Hasegawa, Yutaka Takenouchi, Satomi Ishihara, Ren Osugi"
A Dark Song,2016,"Steve Oram, Catherine Walker, Susan Loughnane, Mark Huberman"
Free State of Jones,2016,"Matthew McConaughey, Gugu Mbatha-Raw, Mahershala Ali, Keri Russell"
Red Christmas,2016,"Dee Wallace, Geoff Morrell, Sarah Bishop, David Collins"
Salt and Fire,2016,"Veronica Ferres, Michael Shannon, Gael García Bernal, Volker Michalowski"
Collide,2016,"Nicholas Hoult, Felicity Jones, Anthony Hopkins, Ben Kingsley"
Tracktown,2016,"Alexi Pappas, Chase Offerle, Rachel Dratch, Andy Buckley"
London Town,2016,"Jonathan Rhys Meyers, Daniel Huttlestone, Dougray Scott, Natascha McElhone"
Blood Father,2016,"Mel Gibson, Erin Moriarty, Diego Luna, Michael Parks"
The Neon Demon,2016,"Elle Fanning, Christina Hendricks, Keanu Reeves, Karl Glusman"
Risk,2016,"Julian Assange, Sarah Harrison, Jacob Appelbaum, Joseph Farrell"
Cell,2016,"John Cusack, Samuel L. Jackson, Isabelle Fuhrman, Clark Sarullo"
After the Storm,2016,"Hiroshi Abe, Yôko Maki, Satomi Kobayashi, Lily Franky"
Loving,2016,"Ruth Negga, Joel Edgerton, Will Dalton, Dean Mumford"
Hell or High Water,2016,"Chris Pine, Ben Foster, Jeff Bridges, Gil Birmingham"
The Transfiguration,2016,"Eric Ruffin, Karin Cherches, Luis Scott, Dangelo Bonneli"
Raw,2016,"Garance Marillier, Ella Rumpf, Rabah Nait Oufella, Laurent Lucas"
Train to Busan,2016,"Yoo Gong, Yu-mi Jung, Dong-seok Ma, Su-an Kim"
The Hollow Point,2016,"Patrick Wilson, Ian McShane, John Leguizamo, Lynn Collins"
Precious Cargo,2016,"Bruce Willis, Mark-Paul Gosselaar, Claire Forlani, Jenna B. Kelly"
Sundown,2016,"Devon Werkheiser, Sean Marquette, Silverio Palacios, Camilla Belle"
The Take,2016,"Idris Elba, Richard Madden, Charlotte Le Bon, Kelly Reilly"
Between Us,2016,"Analeigh Tipton, Lesley Ann Warren, Olivia Thirlby, Adam Goldberg"
Dean,2016,"Demetri Martin, Kevin Kline, Gillian Jacobs, Mary Steenburgen"
Folk Hero & Funny Guy,2016,"Alex Karpovsky, Wyatt Russell, Meredith Hagner, Melanie Lynskey"
Little Boxes,2016,"Melanie Lynskey, Nelsan Ellis, Armani Jackson, Oona Laurence"
All We Had,2016,"Katie Holmes, Stefania LaVie Owen, Eve Lindley, Richard Kind"
All This Panic,2016,"Dusty Rose Ryan, Delia Cunningham, Lena M., Ginger Leigh Ryan"
Two Trains Runnin',2016,"Taylor Branch, Gary Clark Jr., Common, Dave Dennis"
Rainbow Time,2016,"Linas Phillips, Melanie Lynskey, Timm Sharp, Davie-Blue"
Don't Think Twice,2016,"Keegan-Michael Key, Gillian Jacobs, Mike Birbiglia, Chris Gethard"
Little Sister,2016,"Addison Timlin, Ally Sheedy, Keith Poulson, Peter Hedges"
Donald Cried,2016,"Jesse Wakeman, Kris Avedisian, William Billington, Louisa Krause"
My Father Die,2016,"Gabe White, Chester Rushing, Trina LaFargue, Gary Stretch"
Triple 9,2016,"Casey Affleck, Chiwetel Ejiofor, Anthony Mackie, Aaron Paul"
37,2016,"Samira Wiley, Michael Potts, Maria Dizzia, Jamie Harrold"
The Love Witch,2016,"Samantha Robinson, Jeffrey Vincent Parise, Laura Waddell, Gian Keys"
Carnage Park,2016,"Ashley Bell, Pat Healy, James Landry Hébert, Michael Villar"
Holy Hell,2016,"Will Allen, Dimitrius Pulido, Phillipe Coquet, David Christopher"
The Blackout Experiments,2016,"Andrew Gallagher, Allison Fogarty, Bob Glouberman, Abel Horwitz"
Southside with You,2016,"Tika Sumpter, Parker Sawyers, Vanessa Bell Calloway, Phillip Edward Van Lear"
Gleason,2016,"Steve Gleason, Mike Gleason, Scott Fujita, Mike McKenzie"
Manchester by the Sea,2016,"Casey Affleck, Michelle Williams, Kyle Chandler, Lucas Hedges"
Hunt for the Wilderpeople,2016,"Sam Neill, Julian Dennison, Rima Te Wiata, Rachel House"
Swiss Army Man,2016,"Paul Dano, Daniel Radcliffe, Mary Elizabeth Winstead, Antonia Ribero"
Lost in the Sun,2016,"Josh Duhamel, Josh Wiggins, Lynn Collins, Emma Fuhrmann"
Standoff,2016,"Thomas Jane, Laurence Fishburne, Joanna Douglas, Ella Ballentine"
Extraction,2015,"Bruce Willis, Kellan Lutz, Gina Carano, D.B. Sweeney"
Eddie the Eagle,2015,"Taron Egerton, Hugh Jackman, Tom Costello, Jo Hartley"
The Hateful Eight,2015,"Samuel L. Jackson, Kurt Russell, Jennifer Jason Leigh, Walton Goggins"
In the Heart of the Sea,2015,"Chris Hemsworth, Cillian Murphy, Brendan Gleeson, Ben Whishaw"
Condemned,2015,"Dylan Penn, Ronen Rubinstein, Genevieve Hudson-Price, Honor Titus"
Jane Wants a Boyfriend,2015,"Louisa Krause, Gabriel Ebert, Eliza Dushku, Polly Draper"
It Had to Be You,2015,"Cristin Milioti, Dan Soder, Halley Feiffer, Kate Simses"
Tank 432,2015,"Rupert Evans, Steve Garry, Deirdre Mullins, Michael Smiley"
