title,year,stars
Upgrade,2018,"Steve Danielsen, Logan Marshall-Green, Melanie Vallejo, Abby Craden"
The Hurricane Heist,2018,"Toby Kebbell, Maggie Grace, Ryan Kwanten, Ralph Ineson"
7 Days in Entebbe,2018,"Ben Schnetzer, Zina Zinchenko, Daniel Brühl, Batsheva Dance Company"
Irreplaceable You,2018,"Timothy Simons, Steve Coogan, Gugu Mbatha-Raw, Michiel Huisman"
Snapshots,2018,"Piper Laurie, Emily Baldoni, Brooke Adams, Christopher McVay"
The Titan,2018,"Tom Wilkinson, Sam Worthington, Taylor Schilling, Agyness Deyn"
Scorched Earth,2018,"Gina Carano, Ryan Robbins, John Hannah, Dean Jagger"
Braven,2018,"Jason Momoa, Garret Dillahunt, Stephen Lang, Jill Wagner"
A Kid Like Jake,2018,"Claire Danes, Octavia Spencer, Priyanka Chopra, Jim Parsons"
Half the Picture,2018,"Ava DuVernay, Caroline Libresco, Brenda Chapman, Catherine Hardwicke"
Assassination Nation,2018,"Suki Waterhouse, Odessa Young, Abra, Hari Nef"
On Her Shoulders,2018,"Simone Monasebian, Michelle Rempel, Nadia Murad, Murad Ismael"
Night Comes On,2018,"Dominique Fishback, Tatum Marilyn Hall, Nastashia Fuller, Jill Rene"
Blindspotting,2018,"Janina Gavankar, Rafael Casal, Daveed Diggs, Jasmine Cephas Jones"
Private Life,2018,"Kathryn Hahn, Paul Giamatti, Gabrielle Reid, Amy Russ"
Bleeding Steel,2017,"Show Lo, Na-Na OuYang, Jackie Chan, Erica Xia-Hou"
Amaurosis,2017,"Richard Flood, Simon Cotton, Jasmine Hyde, Derek Horsham"
Bright,2017,"Edgar Ramírez, Will Smith, Joel Edgerton, Noomi Rapace"
Please Stand By,2017,"Alice Eve, Toni Collette, Dakota Fanning, Lexi Aaron"
24 Hours to Live,2017,"Rutger Hauer, Paul Anderson, Qing Xu, Ethan Hawke"
Beyond Skyline,2017,"Jonny Weston, Callan Mulvey, Bojana Novakovic, Frank Grillo"
Fathom Premieres 6 Below: Miracle on the Mountain,2017,"Mira Sorvino, Sarah Dumont, Josh Hartnett, Kale Culley"
My Little Pony: The Movie,2017,"Kristin Chenoweth, Liev Schreiber, Emily Blunt, Michael Peña"
The Foreigner,2017,"Mark Tandy, Jackie Chan, Rufus Jones, Katie Leung"
Anna and the Apocalypse,2017,"Sarah Swire, Ella Hunt, Malcolm Cumming, Christopher Leveaux"
Pyewacket,2017,"Chloe Rose, Laurie Holden, Nicole Muñoz, Eric Osborne"
Revenge,2017,"Matilda Anna Ingrid Lutz, Vincent Colombe, Guillaume Bouchède, Kevin Janssens"
Breath,2017,"Jacek Koman, Elizabeth Debicki, Simon Baker, Richard Roxburgh"
Mom and Dad,2017,"Anne Winters, Nicolas Cage, Selma Blair, Zackary Arthur"
Outlaws,2017,"Josh McConville, Abbey Lee, Simone Kessell, Ryan Corr"
Molly's Game,2017,"Idris Elba, Kevin Costner, Michael Cera, Jessica Chastain"
Woodshock,2017,"Kirsten Dunst, Pilou Asbæk, Steph DuVall, Joe Cole"
West of Sunshine,2017,"Arthur Angel, Damian Hill, Ty Perham, Kat Stewart"
American Renegades,2017,"Sylvia Hoeks, J.K. Simmons, Sullivan Stapleton, Charlie Bewley"
Death Note,2017,"Margaret Qualley, LaKeith Stanfield, Nat Wolff, Shea Whigham"
Jackals,2017,"Ben Sullivan, Chelsea Ricketts, Deborah Kara Unger, Nick Roux"
Logan Lucky,2017,"Daniel Craig, Channing Tatum, Farrah Mackenzie, Adam Driver"
6 Days,2017,"Abbie Cornish, Jamie Bell, Martin Shaw, Mark Strong"
Armed Response,2017,"Colby Lopez, Wesley Snipes, Dave Annable, Anne Heche"
Detroit,2017,"Jacob Latimore, John Boyega, Algee Smith, Anthony Mackie"
First Kill,2017,"Bruce Willis, Hayden Christensen, Megan Leonard, Ty Shelton"
Valerian and the City of a Thousand Planets,2017,"Dane DeHaan, Clive Owen, Cara Delevingne, Rihanna"
Anything,2017,"Maura Tierney, John Carroll Lynch, Matt Bomer, Margot Bingham"
China Salesman,2017,"Mike Tyson, Li Ai, Janicke Askevold, Dong-xue Li"
The Year of Spectacular Men,2017,"Brandon T. Jackson, Cameron Monaghan, Jesse Bradford, Madelyn Deutch"
And Then I Go,2017,"Melonie Diaz, Arman Darbo, Tony Hale, Lucy Shepard"
Becks,2017,"Mena Suvari, Lena Hall, Dan Fogler, Christine Lahti"
Ali's Wedding,2017,"Osamah Sami, Helana Sawires, Robert Rabiah, Don Hany"
The Hunter's Prayer,2017,"Sam Worthington, Odeya Rush, Amy Landecker, Allen Leech"
Good Time,2017,"Jennifer Jason Leigh, Benny Safdie, Buddy Duress, Robert Pattinson"
47 Meters Down,2017,"Claire Holt, Mandy Moore, Chris Johnson, Matthew Modine"
Kill Switch,2017,"Tygo Gernandt, Charity Wakefield, Dan Stevens, Bérénice Marlohe"
The Circle,2017,"Tom Hanks, John Boyega, Emma Watson, Ellar Coltrane"
Bombshell: The Hedy Lamarr Story,2017,"Hedy Lamarr, Anthony Loder, Jennifer Hom, Mel Brooks"
Sweet Virginia,2017,"Rosemarie DeWitt, Jon Bernthal, Imogen Poots, Christopher Abbott"
Aftermath,2017,"Arnold Schwarzenegger, Maggie Grace, Judah Nelson, Scoot McNairy"
Stratton,2017,"Gemma Chan, Dominic Cooper, Austin Stowell, Connie Nielsen"
Bomb City,2017,"Glenn Morshower, Dave Davis, Luke Shelton, Henry Knotts"
Mr. Roosevelt,2017,"Noël Wells, Britt Lower, Nick Thune, Daniella Pineda"
The Strange Ones,2017,"Gene Jones, Emily Althaus, Alex Pettyfer, James Freedson-Jackson"
68 Kill,2017,"Alisha Boe, Sheila Vand, AnnaLynne McCord, Matthew Gray Gubler"
Fist Fight,2017,"Christina Hendricks, Charlie Day, Ice Cube, Tracy Morgan"
Freak Show,2017,"Celia Weston, Ian Nelson, Alex Lawther, AnnaSophia Robb"
Wheeler,2017,"Audrey Spillman, Kris Kristofferson, Stephen Dorff, Bobby Tomberlin"
"No Date, No Signature",2017,"Hediyeh Tehrani, Zakieh Behbahani, Navid Mohammadzadeh, Amir Aghaee"
The Incredible Jessica James,2017,"Jessica Williams, LaKeith Stanfield, ""Chris ODowd"", Noël Wells"
Band Aid,2017,"Adam Pally, Fred Armisen, Susie Essman, Zoe Lister-Jones"
Call Me by Your Name,2017,"Armie Hammer, Timothée Chalamet, Amira Casar, Michael Stuhlbarg"
Golden Exits,2017,"Lily Rabe, Mary-Louise Parker, Emily Browning, Adam Horovitz"
T2 Trainspotting,2017,"Ewan McGregor, Ewen Bremner, Robert Carlyle, Jonny Lee Miller"
Dim the Fluorescents,2017,"Andreana Callegarini-Gradzik, Brendan Hobin, Claire Armstrong, Naomi Skwarna"
Wind River,2017,"Kelsey Asbille, Jeremy Renner, Teo Briones, Julia Jones"
The Little Hours,2017,"Dave Franco, Aubrey Plaza, Kate Micucci, Alison Brie"
Contract to Kill,2016,"Steven Seagal, Jemma Dallender, Russell Wong, Mircea Drambareanu"
The Founder,2016,"Michael Keaton, John Carroll Lynch, Linda Cardellini, Nick Offerman"
Owaranai hito: Miyazaki Hayao,2016,"Yuhei Sakuragi, Hayao Miyazaki, Toshio Suzuki, Yukinori Nakamura"
The Comedian,2016,"Leslie Mann, Edie Falco, Danny DeVito, Robert De Niro"
My Dead Boyfriend,2016,"Katherine Moennig, Griffin Dunne, Scott Michael Foster, Heather Graham"
In This Corner of the World,2016,"Ava Pickard, Non, Karen Strassman, Kenna Pickard"
This Beautiful Fantastic,2016,"Anna Chancellor, Jeremy Irvine, Jessica Brown Findlay, Mia Farkasovska"
The Lost City of Z,2016,"Sienna Miller, Charlie Hunnam, Robert Pattinson, Tom Holland"
Billy Lynn's Long Halftime Walk,2016,"Arturo Castro, Joe Alwyn, Garrett Hedlund, Mason Lee"
Max Steel,2016,"Andy Garcia, Maria Bello, Ben Winchell, Josh Brener"
Mindhorn,2016,"Steve Coogan, Simon Farnaby, Julian Barratt, Essie Davis"
Letters From Baghdad,2016,"Eric Loscheider, Michael Higgs, Rachael Stirling, Tilda Swinton"
Autumn Lights,2016,"Sveinn Ólafur Gunnarsson, Thora Bjorg Helga, Marta Gastini, Guy Kent"
Cardboard Boxer,2016,"Rhys Wakefield, Terrence Howard, Boyd Holbrook, Thomas Haden Church"
"All Governments Lie: Truth, Deception, and the Spirit of I.F. Stone",2016,"Chris Hedges, Jeff Cohen, I.F. Stone, Leslie Moonves"
Before the Flood,2016,"Alejandro G. Iñárritu, Leonardo DiCaprio, Ki-moon Ban, Mike Brune"
Catfight,2016,"Anne Heche, Alicia Silverstone, Amy Hill, Sandra Oh"
Colossal,2016,"Austin Stowell, Jason Sudeikis, Anne Hathaway, Tim Blake Nelson"
Free Fire,2016,"Brie Larson, Cillian Murphy, Armie Hammer, Sharlto Copley"
In Dubious Battle,2016,"Selena Gomez, Nat Wolff, ""Vincent DOnofrio"", James Franco"
Norman,2016,"Lior Ashkenazi, Steve Buscemi, Richard Gere, Michael Sheen"
Brimstone,2016,"Guy Pearce, Emilia Jones, Carice van Houten, Dakota Fanning"
Nocturnal Animals,2016,"Aaron Taylor-Johnson, Michael Shannon, Amy Adams, Jake Gyllenhaal"
Morgan,2016,"Rose Leslie, Kate Mara, Anya Taylor-Joy, Michael Yare"
USS Indianapolis: Men of Courage,2016,"Nicolas Cage, Tom Sizemore, Matt Lanter, Thomas Jane"
Mechanic: Resurrection,2016,"Jason Statham, Tommy Lee Jones, Jessica Alba, Michelle Yeoh"
The Girl with All the Gifts,2016,"Paddy Considine, Fisayo Akinade, Sennia Nanua, Dominique Tipper"
Shin Godzilla,2016,"Satomi Ishihara, Hiroki Hasegawa, Yutaka Takenouchi, Ren Osugi"
A Dark Song,2016,"Mark Huberman, Susan Loughnane, Steve Oram, Catherine Walker"
Free State of Jones,2016,"Matthew McConaughey, Gugu Mbatha-Raw, Keri Russell, Mahershala Ali"
Red Christmas,2016,"Geoff Morrell, David Collins, Dee Wallace, Sarah Bishop"
Salt and Fire,2016,"Michael Shannon, Veronica Ferres, Volker Michalowski, Gael García Bernal"
Collide,2016,"Anthony Hopkins, Felicity Jones, Ben Kingsley, Nicholas Hoult"
Tracktown,2016,"Rachel Dratch, Andy Buckley, Chase Offerle, Alexi Pappas"
London Town,2016,"Natascha McElhone, Daniel Huttlestone, Jonathan Rhys Meyers, Dougray Scott"
Blood Father,2016,"Diego Luna, Erin Moriarty, Mel Gibson, Michael Parks"
The Neon Demon,2016,"Elle Fanning, Karl Glusman, Keanu Reeves, Christina Hendricks"
Risk,2016,"Sarah Harrison, Julian Assange, Joseph Farrell, Jacob Appelbaum"
After the Storm,2016,"Satomi Kobayashi, Hiroshi Abe, Lily Franky, Yôko Maki"
Loving,2016,"Will Dalton, Ruth Negga, Joel Edgerton, Dean Mumford"
Hell or High Water,2016,"Ben Foster, Jeff Bridges, Gil Birmingham, Chris Pine"
The Transfiguration,2016,"Dangelo Bonneli, Eric Ruffin, Luis Scott, Karin Cherches"
Raw,2016,"Ella Rumpf, Garance Marillier, Rabah Nait Oufella, Laurent Lucas"
Train to Busan,2016,"Yoo Gong, Dong-seok Ma, Yu-mi Jung, Su-an Kim"
The Hollow Point,2016,"Patrick Wilson, Ian McShane, John Leguizamo, Lynn Collins"
Precious Cargo,2016,"Claire Forlani, Mark-Paul Gosselaar, Bruce Willis, Jenna B. Kelly"
Sundown,2016,"Silverio Palacios, Devon Werkheiser, Sean Marquette, Camilla Belle"
The Take,2016,"Charlotte Le Bon, Kelly Reilly, Idris Elba, Richard Madden"
Between Us,2016,"Adam Goldberg, Lesley Ann Warren, Olivia Thirlby, Analeigh Tipton"
Dean,2016,"Kevin Kline, Gillian Jacobs, Demetri Martin, Mary Steenburgen"
Folk Hero & Funny Guy,2016,"Alex Karpovsky, Melanie Lynskey, Meredith Hagner, Wyatt Russell"
Little Boxes,2016,"Oona Laurence, Armani Jackson, Nelsan Ellis, Melanie Lynskey"
All We Had,2016,"Stefania LaVie Owen, Katie Holmes, Richard Kind, Eve Lindley"
All This Panic,2016,"Ginger Leigh Ryan, Delia Cunningham, Dusty Rose Ryan, Lena M."
Two Trains Runnin',2016,"Dave Dennis, Common, Gary Clark Jr., Taylor Branch"
Rainbow Time,2016,"Davie-Blue, Linas Phillips, Timm Sharp, Melanie Lynskey"
Don't Think Twice,2016,"Chris Gethard, Mike Birbiglia, Keegan-Michael Key, Gillian Jacobs"
Little Sister,2016,"Peter Hedges, Keith Poulson, Addison Timlin, Ally Sheedy"
Donald Cried,2016,"Jesse Wakeman, Kris Avedisian, William Billington, Louisa Krause"
My Father Die,2016,"Trina LaFargue, Gabe White, Chester Rushing, Gary Stretch"
Triple 9,2016,"Casey Affleck, Aaron Paul, Chiwetel Ejiofor, Anthony Mackie"
37,2016,"Michael Potts, Maria Dizzia, Samira Wiley, Jamie Harrold"
The Love Witch,2016,"Jeffrey Vincent Parise, Gian Keys, Laura Waddell, Samantha Robinson"
Carnage Park,2016,"Ashley Bell, James Landry Hébert, Pat Healy, Michael Villar"
Holy Hell,2016,"Dimitrius Pulido, Phillipe Coquet, David Christopher, Will Allen"
The Blackout Experiments,2016,"Abel Horwitz, Andrew Gallagher, Bob Glouberman, Allison Fogarty"
Southside with You,2016,"Tika Sumpter, Parker Sawyers, Phillip Edward Van Lear, Vanessa Bell Calloway"
Gleason,2016,"Steve Gleason, Mike Gleason, Mike McKenzie, Scott Fujita"
Manchester by the Sea,2016,"Kyle Chandler, Casey Affleck, Lucas Hedges, Michelle Williams"
Hunt for the Wilderpeople,2016,"Julian Dennison, Rachel House, Rima Te Wiata, Sam Neill"
Swiss Army Man,2016,"Paul Dano, Mary Elizabeth Winstead, Antonia Ribero, Daniel Radcliffe"
Lost in the Sun,2016,"Josh Duhamel, Emma Fuhrmann, Josh Wiggins, Lynn Collins"
Standoff,2016,"Laurence Fishburne, Ella Ballentine, Joanna Douglas, Thomas Jane"
Extraction,2015,"Kellan Lutz, D.B. Sweeney, Gina Carano, Bruce Willis"
Eddie the Eagle,2015,"Taron Egerton, Tom Costello, Hugh Jackman, Jo Hartley"
The Hateful Eight,2015,"Samuel L. Jackson, Kurt Russell, Walton Goggins, Jennifer Jason Leigh"
In the Heart of the Sea,2015,"Brendan Gleeson, Chris Hemsworth, Cillian Murphy, Ben Whishaw"
Condemned,2015,"Honor Titus, Dylan Penn, Genevieve Hudson-Price, Ronen Rubinstein"
Jane Wants a Boyfriend,2015,"Eliza Dushku, Polly Draper, Gabriel Ebert, Louisa Krause"
It Had to Be You,2015,"Dan Soder, Cristin Milioti, Halley Feiffer, Kate Simses"
Tank 432,2015,"Steve Garry, Deirdre Mullins, Rupert Evans, Michael Smiley"
What We Become,2015,"Ella Solgaard, Benjamin Engell, Mille Dinesen, Troels Lyby"
Darling,2015,"Larry Fessenden, Lauren Ashley Carter, Brian Morvant, Sean Young"
Captive,2015,"Mimi Rogers, Kate Mara, Michael Kenneth Williams, David Oyelowo"
Évolution,2015,"Max Brebant, Julie-Marie Parmentier, Roxane Duran, Marta Blanc"
The Blackcoat's Daughter,2015,"Kiernan Shipka, Emma Roberts, James Remar, Lucy Boynton"
Hardcore Henry,2015,"Danila Kozlovsky, Sharlto Copley, Haley Bennett, Tim Roth"
Baskin,2015,"Mehmet Cerrahoglu, Ergun Kuyucu, Muharrem Bayrak, Görkem Kasal"
Eye in the Sky,2015,"Helen Mirren, Barkhad Abdi, Aaron Paul, Alan Rickman"
Tanna,2015,"Mungau Dain, Marie Wawa, Charlie Kahla, Marceline Rofit"
Man Down,2015,"Gary Oldman, Jai Courtney, Kate Mara, Shia LaBeouf"
Ma,2015,"Andrew Pastides, Matt Lauria, Kentucker Audley, Michelle Perks"
Black Mass,2015,"Dakota Johnson, Benedict Cumberbatch, Johnny Depp, Joel Edgerton"
Solace,2015,"Anthony Hopkins, Jeffrey Dean Morgan, Abbie Cornish, Colin Farrell"
The Visit,2015,"Peter McRobbie, Olivia DeJonge, Ed Oxenbould, Deanna Dunagan"
No Escape,2015,"Pierce Brosnan, Thanawut Ketsaro, Lake Bell, Owen Wilson"
The Transporter Refueled,2015,"Lenn Kudrjawizki, Ray Stevenson, Ed Skrein, Loan Chabanol"
American Ultra,2015,"Kristen Stewart, John Leguizamo, Connie Britton, Jesse Eisenberg"
Bite,2015,"Jordan Gray, Denise Yuen, Annette Wozniak, Elma Begovic"
Wild City,2015,"Shawn Yue, Louis Koo, Hsiao-chuan Chang, Liya Tong"
13 Cameras,2015,"Brianne Moncrief, PJ McCabe, Neville Archambault, Sean Carrigan"
Momentum,2015,"Daniel Fox, James Purefoy, Morgan Freeman, Olga Kurylenko"
Self/less,2015,"Natalie Martinez, Ryan Reynolds, Ben Kingsley, Matthew Goode"
Intruders,2015,"Timothy McKinney, Rory Culkin, Leticia Jimenez, Jack Kesy"
Already Tomorrow in Hong Kong,2015,"Richard Ng, Jamie Chung, Sarah Lian, Bryan Greenberg"
Women He's Undressed,2015,"Jane Fonda, Eric Sherman, Ann Roth, Marc Eliot"
Me Him Her,2015,"Emily Meade, Kyle Bornheimer, Dustin Milligan, Luke Bracey"
Macbeth,2015,"Frank Madigan, Marion Cotillard, Michael Fassbender, Jack Madigan"
The Human Centipede III (Final Sequence),2015,"Eric Roberts, Dieter Laser, Robert LaSardo, Laurence R. Harvey"
Survivor,2015,"Pierce Brosnan, Dylan McDermott, Milla Jovovich, Paddy Wallace"
Sicario,2015,"Josh Brolin, Jon Bernthal, Benicio Del Toro, Emily Blunt"
Green Room,2015,"Anton Yelchin, Patrick Stewart, Imogen Poots, Alia Shawkat"
Our Little Sister,2015,"Masami Nagasawa, Haruka Ayase, Kaho, Suzu Hirose"
MI-5,2015,"Peter Firth, Jennifer Ehle, Kit Harington, Michael Wildman"
Beautiful Something,2015,"John Lescault, Zack Ryan, Colman Domingo, Brian Sheppard"
Barely Lethal,2015,"Samuel L. Jackson, Eva G. Cooper, Madeleine Stack, Jaime King"
Anesthesia,2015,"Sam Waterston, Corey Stoll, Kristen Stewart, Gretchen Mol"
Maggie,2015,"Arnold Schwarzenegger, Joely Richardson, Abigail Breslin, Laura Cayouette"
Slow Learners,2015,"Peter Grosz, Bobby Spears Jr., Adam Pally, Megan Neuringer"
Dirty Weekend,2015,"Alice Eve, Phil Burke, Gia Crovatin, Matthew Broderick"
Song of Lahore,2015,"Asad Ali, Najaf Ali, Saleem Khan, Rafiq Ahmed"
One More Time,2015,"Amber Heard, Christopher Walken, Hamish Linklater, Kelli Garner"
Men Go to Battle,2015,"Charlotte Arnold, Emily Kicklighter, Samantha Jacober, Steve Coulter"
King Jack,2015,"Danny Flaherty, Christian Madsen, Cory Nichols, Charlie Plummer"
Dark Places,2015,"Chloë Grace Moretz, Charlize Theron, Nicholas Hoult, Christina Hendricks"
7 Chinese Brothers,2015,"Tunde Adebimpe, Olympia Dukakis, Eleanore Pienta, Jason Schwartzman"
Tab Hunter Confidential,2015,"Clint Eastwood, Natalie Wood, Tab Hunter, Rock Hudson"
"Hello, My Name Is Doris",2015,"Wendi McLendon-Covey, Tyne Daly, Sally Field, Max Greenfield"
The Invitation,2015,"Emayatzy Corinealdi, Logan Marshall-Green, Tammy Blanchard, Michiel Huisman"
Run All Night,2015,"Ed Harris, Liam Neeson, ""Vincent DOnofrio"", Joel Kinnaman"
The Gunman,2015,"Jasmine Trinca, Idris Elba, Sean Penn, Javier Bardem"
Results,2015,"Guy Pearce, Giovanni Ribisi, Cobie Smulders, Kevin Corrigan"
I'll See You in My Dreams,2015,"Sam Elliott, Malin Akerman, Blythe Danner, Martin Starr"
Unexpected,2015,"Anders Holm, Cobie Smulders, Elizabeth McGovern, Gail Bean"
Being Evel,2015,"Ray Gunn, Ken Berg, George Hamilton, Seth Enslow"
Me and Earl and the Dying Girl,2015,"Nick Offerman, Olivia Cooke, RJ Cyler, Thomas Mann"
The Hallow,2015,"Michael Smiley, Bojana Novakovic, Michael McElhatton, Joseph Mawle"
Mississippi Grind,2015,"Ben Mendelsohn, Ryan Reynolds, Yvonne Landry, Anthony Howard"
The Witch,2015,"Julian Richings, Anya Taylor-Joy, Ralph Ineson, Kate Dickie"
Tangerine,2015,"Karren Karagulian, Kitana Kiki Rodriguez, Mya Taylor, ""Mickey OHagan"""
Strangerland,2015,"Nicole Kidman, Lisa Flanagan, Joseph Fiennes, Hugo Weaving"
Wild Card,2015,"Jason Statham, Michael Angarano, Milo Ventimiglia, Dominik Garcia"
Vice,2015,"Johnathon Schaech, Ambyr Childers, Bruce Willis, Thomas Jane"
Let's Kill Ward's Wife,2014,"James Carpinello, Amy Acker, Ava Carpinello, Dagmara Dominczyk"
Ex Machina,2014,"Oscar Isaac, Domhnall Gleeson, Sonoya Mizuno, Alicia Vikander"
Free the Nipple,2014,"Zach Grenier, Lola Kirke, Lina Esco, Monique Coleman"
Six Dance Lessons in Six Weeks,2014,"Cheyenne Jackson, Gena Rowlands, Rita Moreno, Jacki Weaver"
Mountain Men,2014,"Tyler Labine, Britt Irvin, Chace Crawford, Christine Willes"
Poker Night,2014,"Beau Mirchoff, Titus Welliver, Giancarlo Esposito, Ron Perlman"
Skin Trade,2014,"Tony Jaa, Dolph Lundgren, Michael Jai White, Ron Perlman"
Robot Overlords,2014,"Ben Kingsley, Ella Hunt, Gillian Anderson, Callan McAuliffe"
Felt,2014,"Elisabeth Ferrara, Amy Everson, Ryan Creighton, Kentucker Audley"
Automata,2014,"Dylan McDermott, Birgitte Hjort Sørensen, Antonio Banderas, Melanie Griffith"
Everly,2014,"Salma Hayek, Hiroyuki Watanabe, Togo Igawa, Laura Cepeda"
Alien Outpost,2014,"Brandon Auret, Reiley McClendon, Adrian Paul, Joe Reegan"
A Walk Among the Tombstones,2014,"Liam Neeson, Boyd Holbrook, Dan Stevens, David Harbour"
Before We Go,2014,"John Cullum, Alice Eve, Emma Fitzpatrick, Chris Evans"
American Heist,2014,"Akon, Adrien Brody, Hayden Christensen, Jordana Brewster"
The Keeping Room,2014,"Muna Otaru, Sam Worthington, Brit Marling, Hailee Steinfeld"
Meet Me in Montenegro,2014,"Jennifer Ulrich, Alex Holdridge, Rupert Friend, Linnea Saasen"
Welcome to Me,2014,"James Marsden, Kristen Wiig, Wes Bentley, Linda Cardellini"
Big Game,2014,"Samuel L. Jackson, Victor Garber, Ray Stevenson, Onni Tommila"
Before I Go to Sleep,2014,"Nicole Kidman, Colin Firth, Anne-Marie Duff, Mark Strong"
Wolves,2014,"Stephen McHattie, Merritt Patterson, Lucas Till, John Pyper-Ferguson"
Cam2Cam,2014,"Tammin Sursok, Russell Geoffrey Banks, Jade Tailor, Sarah Bonrepaux"
The Prince,2014,"John Cusack, Jessica Lowndes, Bruce Willis, Jason Patric"
Frank Miller's Sin City: A Dame to Kill For,2014,"Josh Brolin, Mickey Rourke, Jessica Alba, Joseph Gordon-Levitt"
The November Man,2014,"Pierce Brosnan, Bill Smitrovich, Olga Kurylenko, Luke Bracey"
After,2014,"Kathleen Quinlan, Sabrina Gennarino, Pablo Schreiber, John Doman"
The Princess of France,2014,"Agustina Muñoz, Julián Larquier Tellarini, María Villar, Alessio Rigo de Righi"
The Dark Horse,2014,"Kirk Torrance, Cliff Curtis, James Napier Robertson, James Rolleston"
Rocks in My Pockets,2014,Signe Baumane
The Anomaly,2014,"Noel Clarke, Brian Cox, Ian Somerhalder, Alexis Knapp"
Kite,2014,"Christina Storm, Annabel Linder, India Eisley, Jaco Muller"
Emoticon ;),2014,"Michael Cristofer, Livia De Paolis, Carol Kane, Sônia Braga"
The Salt of the Earth,2014,"Juliano Ribeiro Salgado, Sebastião Salgado, Wim Wenders, Lélia Wanick Salgado"
"Two Days, One Night",2014,"Baptiste Sornin, Catherine Salée, Marion Cotillard, Fabrizio Rongione"
Waiting for August,2014,
10 Cent Pistol,2014,"Damon Alexander, Joe Mantegna, JT Alexander, Jena Malone"
Miss Meadows,2014,"Jean Smart, Katie Holmes, Callan Mulvey, James Badge Dale"
Boulevard,2014,"Roberto Aguire, Robin Williams, Bob Odenkirk, Kathy Baker"
Time Lapse,2014,"""Matt OLeary"", George Finn, John Rhys-Davies, Danielle Panabaker"
Young Bodies Heal Quickly,2014,"Johnathan Frasier, Gabriel Croft, Josephine Decker, Jay Featherstone"
Alex of Venice,2014,"Chris Messina, Derek Luke, Mary Elizabeth Winstead, Don Johnson"
Life Partners,2014,"Gabourey Sidibe, Leighton Meester, Adam Brody, Gillian Jacobs"
Match,2014,"Carla Gugino, Patrick Stewart, Jamie Tirelli, Matthew Lillard"
God's Not Dead,2014,"Shane Harper, Dean Cain, David A.R. White, Kevin Sorbo"
Sabotage,2014,"Arnold Schwarzenegger, Sam Worthington, Terrence Howard, Olivia Williams"
Take Me to the River,2014,"William Bell, Al Bell, Terrence Howard, James Alexander"
10.000 Km,2014,"David Verdaguer, Sirius Flatz, Natalia Tena"
At the Devil's Door,2014,"Nick Eversman, Michael Massee, Ashley Rickards, Mark Steger"
Predestination,2014,"Noah Taylor, Madeleine West, Sarah Snook, Ethan Hawke"
Date and Switch,2014,"Dakota Johnson, Hunter Cope, Nicholas Braun, Gary Cole"
'71,2014,"""Jack OConnell"", Paul Popplewell, Sam Reid, Sean Harris"
Rage,2014,"Rachel Nichols, Nicolas Cage, Michael McGrady, Max Ryan"
Little Accidents,2014,"Jacob Lofland, Beau Wright, Boyd Holbrook, Randy Springer"
Hits,2014,"Matt Walsh, Jake Cherry, James Adomian, Meredith Hagner"
The Raid 2,2014,"Arifin Putra, Yayan Ruhian, Iko Uwais, Oka Antara"
The Outsider,2014,"Shannon Elizabeth, Craig Fairbrass, Jason Patric, James Caan"
What We Do in the Shadows,2014,"Jonny Brugh, Cori Gonzalez-Macuer, Taika Waititi, Jemaine Clement"
Happy Christmas,2014,"Mark Webber, Anna Kendrick, Lena Dunham, Melanie Lynskey"
Life Itself,2014,"Chaz Ebert, Martin Scorsese, Roger Ebert, Gene Siskel"
A Most Wanted Man,2014,"Robin Wright, Philip Seymour Hoffman, Daniel Brühl, Rachel McAdams"
E-Team,2014,"Peter Bouckaert, Ole Solvang, Anna Neistat, Fred Abrahams"
I Origins,2014,"Brit Marling, Steven Yeun, Michael Pitt, Astrid Bergès-Frisbey"
Love Is Strange,2014,"Marisa Tomei, Alfred Molina, Charlie Tahan, John Lithgow"
The Guest,2014,"Joel David Moore, Dan Stevens, Sheila Kelley, Maika Monroe"
God's Pocket,2014,"John Turturro, Philip Seymour Hoffman, Richard Jenkins, Christina Hendricks"
The Nut Job,2014,"Katherine Heigl, Liam Neeson, Brendan Fraser, Will Arnett"
Dumbbells,2014,"Hoyt Richards, Mircea Monroe, Taylor Cole, Brian Drolet"
Police Story: Lockdown,2013,"Ye Liu, Jackie Chan, Tao Yin, Tian Jing"
"No God, No Master",2013,"Alessandro Mario, Sam Witwer, David Strathairn, Ray Wise"
The Best Man Holiday,2013,"Melissa De Sousa, Taye Diggs, Monica Calhoun, Morris Chestnut"
Brightest Star,2013,"Chris Lowell, Alex Kaluzhsky, Jessica Szohr, Rose McIver"
Life Inside Out,2013,"Maggie Baird, Lori Nasso, ""Finneas OConnell"", David Cowgill"
The Maid's Room,2013,"Paula Garcés, Annabella Sciorra, Philip Ettinger, Bill Camp"
Adult World,2013,"John Cusack, Emma Roberts, Evan Peters, Cloris Leachman"
The Family,2013,"Dianna Agron, ""John DLeo"", Michelle Pfeiffer, Robert De Niro"
How I Live Now,2013,"Harley Bird, Saoirse Ronan, George MacKay, Tom Holland"
Canopy,2013,"Morning Tzu-Yi Mo, Edwina Wren, Khan Chittenden, Robert Menzies"
Fading Gigolo,2013,"John Turturro, Woody Allen, Sofía Vergara, Sharon Stone"
