title,year,director,stars
Skin Trade,2014,Ekachai Uekrongtham,"Dolph Lundgren, Tony Jaa, Ron Perlman, Michael Jai White"
Robot Overlords,2014,Jon Wright,"Ben Kingsley, Gillian Anderson, Callan McAuliffe, Ella Hunt"
Monsters: Dark Continent,2014,Tom Green,"Johnny Harris, Sam Keeley, Joe Dempsie, Sofia Boutella"
Felt,2014,Jason Banker,"Amy Everson, Kentucker Audley, Ryan Creighton, Elisabeth Ferrara"
Automata,2014,Gabe Ibáñez,"Antonio Banderas, Birgitte Hjort Sørensen, Dylan McDermott, Melanie Griffith"
Everly,2014,Joe Lynch,"Salma Hayek, Hiroyuki Watanabe, Laura Cepeda, Togo Igawa"
Alien Outpost,2014,Jabbar Raisani,"Adrian Paul, Andy Davoli, Reiley McClendon, Brandon Auret"
A Walk Among the Tombstones,2014,Scott Frank,"Liam Neeson, Dan Stevens, David Harbour, Boyd Holbrook"
Before We Go,2014,Chris Evans,"Chris Evans, Alice Eve, Emma Fitzpatrick, John Cullum"
American Heist,2014,Sarik Andreasyan,"Hayden Christensen, Adrien Brody, Jordana Brewster, Akon"
The Keeping Room,2014,Daniel Barber,"Brit Marling, Hailee Steinfeld, Sam Worthington, Muna Otaru"
Meet Me in Montenegro,2014,Alex Holdridge,"Alex Holdridge, Linnea Saasen, Rupert Friend, Jennifer Ulrich"
Welcome to Me,2014,Shira Piven,"Kristen Wiig, James Marsden, Linda Cardellini, Wes Bentley"
Big Game,2014,Jalmari Helander,"Samuel L. Jackson, Onni Tommila, Ray Stevenson, Victor Garber"
Before I Go to Sleep,2014,Rowan Joffe,"Nicole Kidman, Colin Firth, Mark Strong, Anne-Marie Duff"
Wolves,2014,David Hayter,"Lucas Till, Stephen McHattie, John Pyper-Ferguson, Merritt Patterson"
Cam2Cam,2014,Joel Soisson,"Tammin Sursok, Jade Tailor, Sarah Bonrepaux, Russell Geoffrey Banks"
The Prince,2014,Brian A. Miller,"Jason Patric, Bruce Willis, John Cusack, Jessica Lowndes"
Frank Miller's Sin City: A Dame to Kill For,2014,Frank Miller,"Mickey Rourke, Jessica Alba, Josh Brolin, Joseph Gordon-Levitt"
The November Man,2014,Roger Donaldson,"Pierce Brosnan, Luke Bracey, Olga Kurylenko, Bill Smitrovich"
After,2014,Pieter Gaspersz,"Kathleen Quinlan, John Doman, Pablo Schreiber, Sabrina Gennarino"
The Princess of France,2014,Matías Piñeiro,"Julián Larquier Tellarini, Agustina Muñoz, Alessio Rigo de Righi, María Villar"
The Dark Horse,2014,James Napier Robertson,"Cliff Curtis, James Rolleston, Kirk Torrance, James Napier Robertson"
Rocks in My Pockets,2014,Signe Baumane,Signe Baumane
The Anomaly,2014,Noel Clarke,"Noel Clarke, Ian Somerhalder, Brian Cox, Alexis Knapp"
Kite,2014,Ralph Ziman,"India Eisley, Jaco Muller, Annabel Linder, Christina Storm"
Emoticon ;),2014,Livia De Paolis,"Livia De Paolis, Michael Cristofer, Carol Kane, Sônia Braga"
The Salt of the Earth,2014,Juliano Ribeiro Salgado,"Sebastião Salgado, Wim Wenders, Lélia Wanick Salgado, Juliano Ribeiro Salgado"
"Two Days, One Night",2014,Jean-Pierre Dardenne,"Marion Cotillard, Fabrizio Rongione, Catherine Salée, Baptiste Sornin"
Waiting for August,2014,Teodora Mihai,
10 Cent Pistol,2014,Michael C. Martin,"Jena Malone, JT Alexander, Damon Alexander, Joe Mantegna"
Miss Meadows,2014,Karen Leigh Hopkins,"Katie Holmes, James Badge Dale, Callan Mulvey, Jean Smart"
Boulevard,2014,Dito Montiel,"Robin Williams, Roberto Aguire, Kathy Baker, Bob Odenkirk"
Time Lapse,2014,Bradley King,"Danielle Panabaker, Matt O'Leary, George Finn, John Rhys-Davies"
Young Bodies Heal Quickly,2014,Andrew T. Betzer,"Gabriel Croft, Josephine Decker, Jay Featherstone, Johnathan Frasier"
Alex of Venice,2014,Chris Messina,"Mary Elizabeth Winstead, Chris Messina, Don Johnson, Derek Luke"
Life Partners,2014,Susanna Fogel,"Leighton Meester, Gillian Jacobs, Adam Brody, Gabourey Sidibe"
Match,2014,Stephen Belber,"Patrick Stewart, Carla Gugino, Matthew Lillard, Jamie Tirelli"
Will You Dance with Me?,2014,Derek Jarman,Phillip Williamson
God's Not Dead,2014,Harold Cronk,"Shane Harper, Kevin Sorbo, David A.R. White, Dean Cain"
Sabotage,2014,David Ayer,"Arnold Schwarzenegger, Sam Worthington, Terrence Howard, Olivia Williams"
Take Me to the River,2014,Martin Shore,"Terrence Howard, James Alexander, Al Bell, William Bell"
10.000 Km,2014,Carlos Marques-Marcet,"Natalia Tena, David Verdaguer, Sirius Flatz"
At the Devil's Door,2014,Nicholas McCarthy,"Ashley Rickards, Nick Eversman, Michael Massee, Mark Steger"
Creep,2014,Patrick Brice,"Patrick Brice, Mark Duplass"
Predestination,2014,Michael Spierig,"Ethan Hawke, Sarah Snook, Noah Taylor, Madeleine West"
Date and Switch,2014,Chris Nelson,"Nicholas Braun, Hunter Cope, Dakota Johnson, Gary Cole"
'71,2014,Yann Demange,"Jack O'Connell, Sam Reid, Sean Harris, Paul Popplewell"
Rage,2014,Paco Cabezas,"Nicolas Cage, Rachel Nichols, Max Ryan, Michael McGrady"
Little Accidents,2014,Sara Colangelo,"Boyd Holbrook, Randy Springer, Jacob Lofland, Beau Wright"
Hits,2014,David Cross,"Meredith Hagner, Matt Walsh, James Adomian, Jake Cherry"
The Raid 2,2014,Gareth Evans,"Iko Uwais, Yayan Ruhian, Arifin Putra, Oka Antara"
The Outsider,2014,Brian A. Miller,"Craig Fairbrass, James Caan, Jason Patric, Shannon Elizabeth"
What We Do in the Shadows,2014,Jemaine Clement,"Jemaine Clement, Taika Waititi, Cori Gonzalez-Macuer, Jonny Brugh"
Happy Christmas,2014,Joe Swanberg,"Anna Kendrick, Melanie Lynskey, Mark Webber, Lena Dunham"
Life Itself,2014,Steve James,"Roger Ebert, Chaz Ebert, Gene Siskel, Martin Scorsese"
A Most Wanted Man,2014,Anton Corbijn,"Philip Seymour Hoffman, Rachel McAdams, Daniel Brühl, Robin Wright"
E-Team,2014,Katy Chevigny,"Anna Neistat, Ole Solvang, Peter Bouckaert, Fred Abrahams"
I Origins,2014,Mike Cahill,"Michael Pitt, Steven Yeun, Astrid Bergès-Frisbey, Brit Marling"
Love Is Strange,2014,Ira Sachs,"John Lithgow, Alfred Molina, Marisa Tomei, Charlie Tahan"
The Guest,2014,Adam Wingard,"Dan Stevens, Sheila Kelley, Maika Monroe, Joel David Moore"
God's Pocket,2014,John Slattery,"Philip Seymour Hoffman, Christina Hendricks, Richard Jenkins, John Turturro"
The Nut Job,2014,Peter Lepeniotis,"Will Arnett, Brendan Fraser, Liam Neeson, Katherine Heigl"
Dumbbells,2014,Christopher Livingston,"Brian Drolet, Hoyt Richards, Taylor Cole, Mircea Monroe"
Police Story: Lockdown,2013,Sheng Ding,"Jackie Chan, Ye Liu, Tian Jing, Tao Yin"
"No God, No Master",2013,Terry Green,"David Strathairn, Ray Wise, Sam Witwer, Alessandro Mario"
The Best Man Holiday,2013,Malcolm D. Lee,"Monica Calhoun, Morris Chestnut, Melissa De Sousa, Taye Diggs"
Brightest Star,2013,Maggie Kiley,"Chris Lowell, Rose McIver, Jessica Szohr, Alex Kaluzhsky"
Life Inside Out,2013,Jill D'Agnenica,"Maggie Baird, Finneas O'Connell, Lori Nasso, David Cowgill"
Walking With The Enemy,2013,Mark Schmidt,"Jonas Armstrong, Ben Kingsley, Hannah Tointon, Simon Kunz"
The Maid's Room,2013,Michael Walker,"Paula Garcés, Annabella Sciorra, Bill Camp, Philip Ettinger"
Adult World,2013,Scott Coffey,"Emma Roberts, Evan Peters, John Cusack, Cloris Leachman"
Machete Kills,2013,Robert Rodriguez,"Danny Trejo, Alexa PenaVega, Mel Gibson, Jessica Alba"
The Family,2013,Luc Besson,"Robert De Niro, Michelle Pfeiffer, Dianna Agron, John D'Leo"
How I Live Now,2013,Kevin Macdonald,"Saoirse Ronan, Tom Holland, George MacKay, Harley Bird"
Canopy,2013,Aaron Wilson,"Khan Chittenden, Morning Tzu-Yi Mo, Robert Menzies, Edwina Wren"
Fading Gigolo,2013,John Turturro,"John Turturro, Woody Allen, Sharon Stone, Sofía Vergara"
36 Saints,2013,Eddy Duran,"Franky G, Jeffrey De Serrano, Donna McKechnie, Jamie Tirelli"
Lucky Them,2013,Megan Griffiths,"Toni Collette, Thomas Haden Church, Nina Arianda, Oliver Platt"
The Ultimate Life,2013,Michael Landon Jr.,"Logan Bartholomew, Peter Fonda, Ali Hillis, Lee Meriwether"
Rush,2013,Ron Howard,"Daniel Brühl, Chris Hemsworth, Olivia Wilde, Alexandra Maria Lara"
Under the Skin,2013,Jonathan Glazer,"Scarlett Johansson, Jeremy McWilliams, Lynsey Taylor Mackay, Dougie McConnell"
The Mortal Instruments: City of Bones,2013,Harald Zwart,"Lily Collins, Jamie Campbell Bower, Robert Sheehan, Jemima West"
Paranoia,2013,Robert Luketic,"Liam Hemsworth, Gary Oldman, Harrison Ford, Amber Heard"
Snowpiercer,2013,Bong Joon Ho,"Chris Evans, Jamie Bell, Tilda Swinton, Ed Harris"
Contracted,2013,Eric England,"Najarra Townsend, Caroline Williams, Alice Macdonald, Matt Mercer"
Stand Clear of the Closing Doors,2013,Sam Fleischner,"Jesus Sanchez-Velez, Andrea Suarez Paz, Azul Zorrilla, Tenoch Huerta"
Hellaware,2013,Michael M. Bilandic,"Keith Poulson, Sophia Takal, Brent Butler, Duane C. Wallace"
Goodbye World,2013,Denis Henry Hennelly,"Adrian Grenier, Kid Cudi, Mckenna Grace, Kerry Bishé"
Europa Report,2013,Sebastián Cordero,"Sharlto Copley, Michael Nyqvist, Christian Camargo, Embeth Davidtz"
Hair Brained,2013,Billy Kent,"Alex Wolff, Parker Posey, Brendan Fraser, Julia Garner"
The Immigrant,2013,James Gray,"Marion Cotillard, Joaquin Phoenix, Jeremy Renner, Dagmara Dominczyk"
The Last Days on Mars,2013,Ruairi Robinson,"Liev Schreiber, Elias Koteas, Romola Garai, Olivia Williams"
Blue Ruin,2013,Jeremy Saulnier,"Macon Blair, Devin Ratray, Amy Hargreaves, Kevin Kolack"
The Bling Ring,2013,Sofia Coppola,"Katie Chang, Israel Broussard, Emma Watson, Claire Julien"
Last Passenger,2013,Omid Nooshin,"Dougray Scott, Kara Tointon, Iddo Goldberg, David Schofield"
Beneath,2013,Larry Fessenden,"Daniel Zovatto, Bonnie Dennison, Chris Conroy, Jon Orsini"
The Colony,2013,Jeff Renfroe,"Kevin Zegers, Laurence Fishburne, Bill Paxton, Charlotte Sullivan"
Some Velvet Morning,2013,Neil LaBute,"Stanley Tucci, Alice Eve"
The Machine,2013,Caradog W. James,"Toby Stephens, Caity Lotz, Denis Lawson, Sam Hazeldine"
Bluebird,2013,Lance Edmands,"Amy Morton, John Slattery, Louisa Krause, Emily Meade"
Odd Thomas,2013,Stephen Sommers,"Anton Yelchin, Ashley Sommers, Leonor Varela, Matthew Page"
Down and Dangerous,2013,Zak Forsman,"John T. Woods, Paulie Rojas Redding, Ross Marquand, Judd Nelson"
Detour,2013,William Dickerson,"Neil Hopkins, Brea Grant, John Forest, Ptolemy Slocum"
A Farewell to Fools,2013,Bogdan Dumitrescu,"Gérard Depardieu, Harvey Keitel, Laura Morante, Bogdan Iancu"
The Wait,2013,M. Blash,"Jena Malone, Chloë Sevigny, Luke Grimes, Devon Gearhart"
Some Girl(s),2013,Daisy von Scherler Mayer,"Adam Brody, Kristen Bell, Zoe Kazan, Mía Maestro"
Dead Man Down,2013,Niels Arden Oplev,"Colin Farrell, Noomi Rapace, Dominic Cooper, Terrence Howard"
Awful Nice,2013,Todd Sklar,"Christopher Meloni, Zahn McClarnon, Laura Ramsey, Brett Gelman"
Safe Haven,2013,Lasse Hallström,"Julianne Hough, Josh Duhamel, Cobie Smulders, David Lyons"
Side Effects,2013,Steven Soderbergh,"Rooney Mara, Channing Tatum, Jude Law, Catherine Zeta-Jones"
Magic Magic,2013,Sebastián Silva,"Michael Cera, Juno Temple, Emily Browning, Catalina Sandino Moreno"
Afternoon Delight,2013,Joey Soloway,"Kathryn Hahn, Link Ruiz, Cesar Garcia, Jane Lynch"
Ass Backwards,2013,Chris Nelson,"June Diane Raphael, Casey Wilson, Jon Cryer, Vincent D'Onofrio"
Charlie Countryman,2013,Fredrik Bond,"Shia LaBeouf, Evan Rachel Wood, Mads Mikkelsen, Til Schweiger"
Ain't Them Bodies Saints,2013,David Lowery,"Rooney Mara, Casey Affleck, Ben Foster, Nate Parker"
The East,2013,Zal Batmanglij,"Brit Marling, Alexander Skarsgård, Ellen Page, Toby Kebbell"
Fruitvale Station,2013,Ryan Coogler,"Michael B. Jordan, Melonie Diaz, Octavia Spencer, Kevin Durand"
Hank and Asha,2013,James E. Duff,"Andrew Pastides, Mahira Kakkar, Brian Sloan, Anna Tydlitatova"
Broken City,2013,Allen Hughes,"Mark Wahlberg, Russell Crowe, Catherine Zeta-Jones, Jeffrey Wright"
Warm Bodies,2013,Jonathan Levine,"Nicholas Hoult, Teresa Palmer, John Malkovich, Analeigh Tipton"
The Color of Time,2012,Edna Luise Biesold,"James Franco, Mila Kunis, Jessica Chastain, Zach Braff"
SOMM,2012,Jason Wise,"Bo Barrett, Shayn Bjornholm, Dave Cauble, Ian Cauble"
I Do,2012,Glenn Gaylord,"Jamie-Lynn Sigler, Alicia Witt, Maurice Compte, David W. Ross"
Ex-Girlfriends,2012,Alexander Poe,"Jennifer Carpenter, Alexander Poe, Kristen Connolly, Liz Holtan"
Just 45 Minutes from Broadway,2012,Henry Jaglom,"Tanna Frederick, Judd Nelson, Jack Heller, Diane Salinger"
Atlas Shrugged II: The Strike,2012,John Putch,"Samantha Mathis, Jason Beghe, Esai Morales, Patrick Fabian"
Not Fade Away,2012,David Chase,"John Magaro, Jack Huston, Will Brill, Brahm Vaccarella"
The Lords of Salem,2012,Rob Zombie,"Sheri Moon Zombie, Meg Foster, Bruce Davison, Jeff Daniel Phillips"
Casting By,2012,Tom Donahue,"Deborah Aquila, Risa Bramon Garcia, Ellen Chenoweth, Marion Dougherty"
Viola,2012,Matías Piñeiro,"María Villar, Alessio Rigo de Righi, Agustina Muñoz, Elisa Carricajo"
The Impossible,2012,J.A. Bayona,"Naomi Watts, Ewan McGregor, Tom Holland, Oaklee Pendergast"
Cloud Atlas,2012,Tom Tykwer,"Tom Hanks, Halle Berry, Hugh Grant, Hugo Weaving"
Frances Ha,2012,Noah Baumbach,"Greta Gerwig, Mickey Sumner, Adam Driver, Michael Zegen"
Vamps,2012,Amy Heckerling,"Alicia Silverstone, Krysten Ritter, Larry Wilmore, Bettina Bresnan"
Sparkle,2012,Salim Akil,"Jordin Sparks Thomas, Carmen Ejogo, Whitney Houston, Derek Luke"
Craigslist Joe,2012,Joseph Garner,"Joseph Garner, Kristos Andrews, Gina Keatley, Michael T. Kuciak"
My Amityville Horror,2012,Eric Walter,"Daniel Lutz, Susan Bartell, Laura DiDio, Marvin Scott"
BearCity 2: The Proposal,2012,Douglas Langway,"Joe Conti, Gerald McCullouch, Stephen Lambeth, Chuck Southworth"
Bad Kids Go to Hell,2012,Matthew Spradlin,"Cameron Deane Stewart, Ben Browder, Jeffrey Schmidt, Ali Faulkner"
Seeking a Friend for the End of the World,2012,Lorene Scafaria,"Steve Carell, Keira Knightley, Melanie Lynskey, Patton Oswalt"
My Father and the Man in Black,2012,Jonathan Holiff,"Saul Holiff, Johnny Cash, Jonathan Holiff, Bob Dylan"
Nate & Margaret,2012,Nathan Adloff,"Natalie West, Tyler Ross, Conor McCahill, Gaby Hoffmann"
Maniac,2012,Franck Khalfoun,"Elijah Wood, Nora Arnezeder, America Olivo, Megan Duffy"
Miss Lovely,2012,Ashim Ahluwalia,"Nawazuddin Siddiqui, Niharika Singh, Anil George, Zeena Bhatia"
Killing Them Softly,2012,Andrew Dominik,"Brad Pitt, Ray Liotta, Richard Jenkins, Scoot McNairy"
Rust and Bone,2012,Jacques Audiard,"Marion Cotillard, Matthias Schoenaerts, Armand Verdure, Céline Sallette"
Piranha 3DD,2012,John Gulager,"Danielle Panabaker, Ving Rhames, David Hasselhoff, Matt Bush"
Sexual Chronicles of a French Family,2012,Pascal Arnold,"Mathias Melloul, Valérie Maës, Stephan Hersoen, Leïla Denio"
Future Weather,2012,Jenny Deller,"Perla Haney-Jardine, Lili Taylor, Amy Madigan, Marin Ireland"
The Playroom,2012,Julia Dyer,"Ian Veteto, Alexandra Doke, Jonathon McClendon, Olivia Harris"
Graceland,2012,Ron Morales,"Arnold Reyes, Menggie Cobarrubias, Dido de la Paz, Leon Miguel"
Free Samples,2012,Jay Gammill,"Jess Weixler, Jesse Eisenberg, Halley Feiffer, Jason Ritter"
Brake,2012,Gabe Torres,"Stephen Dorff, Chyler Leigh, JR Bourne, Tom Berenger"
30 Beats,2012,Alexis Lloyd,"Condola Rashad, Justin Kirk, Jennifer Tilly, Jason Day"
Get the Gringo,2012,Adrian Grunberg,"Mel Gibson, Kevin Balmore, Daniel Giménez Cacho, Jesús Ochoa"
Casa de mi Padre,2012,Matt Piedmont,"Will Ferrell, Gael García Bernal, Diego Luna, Nick Offerman"
Side by Side,2012,Christopher Kenneally,"Derek Ambrosi, Michael Ballhaus, Andrzej Bartkowiak, Dion Beebe"
ATM,2012,David Brooks,"Alice Eve, Josh Peck, Brian Geraghty, Mike O'Brian"
The Girl from the Naked Eye,2012,David Ren,"Jason Yee, Samantha Streets, Ron Yuan, Dominique Swain"
The Samaritan,2012,David Weaver,"Samuel L. Jackson, Luke Kirby, Ruth Negga, A.C. Peterson"
Room 237,2012,Rodney Ascher,"Bill Blakemore, Geoffrey Cocks, Juli Kearns, John Fell Ryan"
My Brother the Devil,2012,Sally El Hosaini,"James Krishna Floyd, Elarica Johnson, Fady Elsayed, Saïd Taghmaoui"
Liberal Arts,2012,Josh Radnor,"Josh Radnor, Elizabeth Olsen, Zac Efron, Elizabeth Reaser"
Safety Not Guaranteed,2012,Colin Trevorrow,"Aubrey Plaza, Mark Duplass, Jake Johnson, Karan Soni"
Detropia,2012,Heidi Ewing,"Noah Stewart, Rachele Gilmnore, Michael Wanko, Michigan Opera Theatre Orchestra"
Beasts of the Southern Wild,2012,Benh Zeitlin,"Quvenzhané Wallis, Dwight Henry, Levy Easterly, Lowell Landes"
The Double,2011,Michael Brandt,"Richard Gere, Topher Grace, Martin Sheen, Tamer Hassan"
Hunky Dory,2011,Marc Evans,"Minnie Driver, Kristian Gwilliam, Adam Byard, Aled Pugh"
In the Family,2011,Patrick Wang,"Sebastian Banes, Patrick Wang, Trevor St. John, Lisa Altomare"
Art History,2011,Joe Swanberg,"Joe Swanberg, Josephine Decker, Kent Osborne, Kris Rey"
11 Flowers,2011,Xiaoshuai Wang,"Jingchun Wang, Wenqing Liu, Guo Liuxing Zhong, Kexuan Zhang"
Samsara,2011,Ron Fricke,"Balinese Tari Legong Dancers, Ni Made Megahadi Pratiwi, Puti Sri Candra Dewi, Putu Dinda Pratika"
Creature,2011,Fred Andrews,"Mehcad Brooks, Serinda Swan, Daniel Bernhardt, Dillon Casey"
Seeking Justice,2011,Roger Donaldson,"Nicolas Cage, January Jones, Guy Pearce, Harold Perrineau"
The Inbetweeners,2011,Ben Palmer,"James Buckley, Blake Harrison, Joe Thomas, Simon Bird"
A Better Life,2011,Chris Weitz,"Demián Bichir, José Julián, Eddie 'Piolin' Sotelo, Joaquín Cosio"
Scalene,2011,Zack Parker,"Margo Martindale, Adam Scarimbolo, Hanna Hall, Jim Dougherty"
Judy Moody and the Not Bummer Summer,2011,John Schultz,"Jordana Beatty, Heather Graham, Parris Mosteller, Janet Varney"
The Tree of Life,2011,Terrence Malick,"Brad Pitt, Sean Penn, Jessica Chastain, Hunter McCracken"
Abandoned,2011,Gaby Dellal,"Thomas Dekker, Lynn Collins, Elizabeth McGovern, Joseph Morgan"
Stuck Between Stations,2011,Brady Kiernan,"Sam Rosen, Zoe Lister-Jones, Michael Imperioli, Josh Hartnett"
Puncture,2011,Adam Kassen,"Chris Evans, Mark Kassen, Vinessa Shaw, Marshall Bell"
Atlas Shrugged: Part I,2011,Paul Johansson,"Taylor Schilling, Grant Bowler, Matthew Marsden, Edi Gathegi"
5 Days of War,2011,Renny Harlin,"Rupert Friend, Emmanuelle Chriqui, Richard Coyle, Heather Graham"
Shut Up Little Man! An Audio Misadventure,2011,Matthew Bate,"Eddie Lee Sausage, Mitch Deprey, Daniel Clowes, Ivan Brunetti"
Where Soldiers Come From,2011,Heather Courtney,
The Beaver,2011,Jodie Foster,"Mel Gibson, Jodie Foster, Anton Yelchin, Cherry Jones"
Detention,2011,Joseph Kahn,"Josh Hutcherson, Shanley Caswell, Spencer Locke, Dane Cook"
Dragonslayer,2011,Tristan Patterson,"Sid Rocket, Josh 'Skreech' Sandoval"
The Divide,2011,Xavier Gens,"Lauren German, Michael Biehn, Milo Ventimiglia, Courtney B. Vance"
The FP,2011,Brandon Trost,"Jason Trost, Lee Valmassy, Art Hsu, Caitlyn Folley"
Attack the Block,2011,Joe Cornish,"John Boyega, Jodie Whittaker, Alex Esmail, Leeon Jones"
Making the Boys,2011,Crayton Robey,"Edward Albee, Joe Allen, Matt Baney, David Carter"
Ironclad,2011,Jonathan English,"Paul Giamatti, Jason Flemyng, Brian Cox, James Purefoy"
The Eagle,2011,Kevin Macdonald,"Channing Tatum, Jamie Bell, Donald Sutherland, István Göz"
Dressed,2011,David John Swajeski,"Mickey Boardman, Simon Collins, Simon Doonan, Amanda Fields"
Bullhead,2011,Michaël R. Roskam,"Matthias Schoenaerts, Jeroen Perceval, Jeanne Dandoy, Barbara Sarafian"
Apart,2011,Aaron Rottinghaus,"Olesya Rulin, Josh Danziger, Bruce McGill, Joey Lauren Adams"
We Were Here,2011,David Weissman,"Ed Wolf, Daniel Goldstein, Guy Clark, Eileen Glutzer"
Bombay Beach,2011,Alma Har'el,
Hell and Back Again,2011,Danfung Dennis,"Nathan Harris, Ashley Harris, The Marines of Echo Company, Christian Cabaniss"
Restless City,2011,Andrew Dosunmu,"Hervé Diese, Momo Dione, Lenore Thomas Douglas, Ger Duany"
I Melt with You,2011,Mark Pellington,"Thomas Jane, Rob Lowe, Jeremy Piven, Christian McKay"
Granito,2011,Pamela Yates,
Another Earth,2011,Mike Cahill,"Brit Marling, William Mapother, Matthew-Lee Erlbach, DJ Flava"
Red State,2011,Kevin Smith,"Michael Parks, Melissa Leo, John Goodman, Michael Angarano"
The Catechism Cataclysm,2011,Todd Rohal,"Judy Findlay, Steve Little, Robert Longstreet, Carlos Lopez"
On the Ice,2011,Andrew Okpeaha MacLean,"Josiah Patkotak, Frank Qutuq Irelan, John Miller, Teddy Kyle Smith"
Bellflower,2011,Evan Glodell,"Evan Glodell, Tyler Dawson, Jessie Wiseman, Rebekah Brandes"
Hood to Coast,2011,Christoph Baaden,"Margaret Lily Andres, Jason Baldwin, Rachel Larsen, Jenny Macy"
Happy Life,2011,Michael M. Bilandic,"Tom McCaffrey, Amanda Salane, Gilles Decamps, Matt Pinfield"
Return,2011,Liza Johnson,"Linda Cardellini, Michael Shannon, John Slattery, Talia Balsam"
Kati with an I,2010,Robert Greene,Kati Genthner
Dylan Dog: Dead of Night,2010,Kevin Munroe,"Brandon Routh, Anita Briem, Sam Huntington, Taye Diggs"
Queen of the Lot,2010,Henry Jaglom,"Tanna Frederick, Noah Wyle, Christopher Rydell, David Proval"
Carbon Nation,2010,Peter Byck,"Rohit T. Aggarwala, Jerry M. Allums, Lela Allums, Peter Barnes"
Wrecked,2010,Michael Greenspan,"Adrien Brody, Caroline Dhavernas, Ryan Robbins, Adrian G. Griffiths"
Under the Boardwalk: The Monopoly Story,2010,Kevin Tostado,"Zachary Levi, Philip Orbanes, Ken Koury, Matthew McNally"
The Black Tulip,2010,Sonia Nassery Cole,"Haji Gul Aser, Sonia Nassery Cole, Leo Solomon, Somajia Razaya"
Last Night,2010,Massy Tadjedin,"Keira Knightley, Sam Worthington, Eva Mendes, Guillaume Canet"
Henry's Crime,2010,Malcolm Venville,"Keanu Reeves, Vera Farmiga, James Caan, Judy Greer"
Let Me In,2010,Matt Reeves,"Kodi Smit-McPhee, Chloë Grace Moretz, Richard Jenkins, Cara Buono"
Girlfriend,2010,Justin Lerner,"Shannon Woodward, Jackson Rathbone, Amanda Plummer, Evan Sneider"
Bunraku,2010,Guy Moshe,"Josh Hartnett, Demi Moore, Woody Harrelson, Gackt"
Everything Must Go,2010,Dan Rush,"Will Ferrell, Rebecca Hall, Christopher Jordan Wallace, Michael Peña"
Super,2010,James Gunn,"Rainn Wilson, Ellen Page, Liv Tyler, Kevin Bacon"
The Way,2010,Emilio Estevez,"Martin Sheen, Emilio Estevez, Deborah Kara Unger, Yorick van Wageningen"
The King's Speech,2010,Tom Hooper,"Colin Firth, Geoffrey Rush, Helena Bonham Carter, Derek Jacobi"
The American,2010,Anton Corbijn,"George Clooney, Paolo Bonacelli, Violante Placido, Irina Björklund"
The Expendables,2010,Sylvester Stallone,"Sylvester Stallone, Jason Statham, Jet Li, Dolph Lundgren"
Amigo,2010,John Sayles,"Joel Torre, Chris Cooper, Garret Dillahunt, Arthur Acuña"
Hello Lonesome,2010,Adam Reid,"Sabrina Lloyd, James Urbaniak, Lynn Cohen, Harry Chase"
The Sons of Tennessee Williams,2010,Tim Wolff,"Charles Maddox, Tommy Dietsch, Ed Herlihy, George Roth"
BearCity,2010,Douglas Langway,"Alex Di Dio, Kevin E. Smith, Joe Conti, Carlos Abrieu"
Leap Year,2010,Michael Rowe,"Gustavo Sánchez Parra, Mónica Del Carmen, Diego Chas, Marco Zapata"
The Woodmans,2010,Scott Willis,"Betty Woodman, George Woodman, Charles Woodman, Francesca Woodman"
In My Sleep,2010,Allen Wolf,"Lacey Chabert, Abigail Spencer, Tim Draxl, Philip Winchester"
The Lottery,2010,Madeleine Sackler,"Geoffrey Canada, Gregory Goodwine Jr., Candice Fryer, Cory Booker"
Harvest,2010,Marc Meyers,"Jack Carpenter, Robert Loggia, Arye Gross, Victoria Clark"
The People vs. George Lucas,2010,Alexandre O. Philippe,"Joe Nussbaum, Daryl Frazetti, Doug Jones, Damian Hess"
Monsters,2010,Gareth Edwards,"Annalee Jefferies, Mario Zuniga Benavides, Whitney Able, Scoot McNairy"
Brotherhood,2010,Will Canon,"Arlen Escarpeta, Jon Foster, Trevor Morgan, Lou Taylor Pucci"
Gabi on the Roof in July,2010,Lawrence Michael Levine,"Lawrence Michael Levine, Louis Cancelmi, Sophia Takal, Brooke Bloom"
The Killing Jar,2010,Mark Young,"Harold Perrineau, Michael Madsen, Amber Benson, Jake Busey"
Red White & Blue,2010,Simon Rumley,"Jon Michael Davis, Amanda Fuller, Nick Holden, Marc Senter"
Skateland,2010,Anthony Burns,"Shiloh Fernandez, Brett Cullen, Heath Freeman, Ashley Greene"
As Good as Dead,2010,Jonathan Mossek,"Andie MacDowell, Cary Elwes, Matt Dallas, Frank Whaley"
Holy Rollers,2010,Kevin Asch,"Danny A. Abeckaser, Ari Graynor, Justin Bartha, Jesse Eisenberg"
The Runaways,2010,Floria Sigismondi,"Kristen Stewart, Michael Shannon, Dakota Fanning, Stella Maeve"
Buried,2010,Rodrigo Cortés,"Ryan Reynolds, Stephen Tobolowsky, José Luis García Pérez, Robert Paterson"
Catfish,2010,Henry Joost,"Henry Joost, Angela Wesselman-Pierce, Nev Schulman, Ariel Schulman"
Bhutto,2010,Duane Baughman,"Asif Ali Zardari, Bakhtawar Bhutto Zardari, Aseefa Bhutto Zardari, Bilawal Bhutto Zardari"
Family Affair,2010,Chico Colvard,
