title,year,director,stars
Snow Angels,2007,David Gordon Green,"Michael Angarano, Jeannetta Arnette, Kate Beckinsale, Sam Rockwell"
9 Star Hotel,2006,Ido Haar,
Happily N'Ever After,2006,Paul Bolger,"Sigourney Weaver, George Carlin, Sarah Michelle Gellar, Patrick Warburton"
Eye of the Dolphin,2006,Michael D. Sellers,"George Harris, Adrian Dunbar, Carly Schroeder, Christine Adams"
The Dead Girl,2006,Karen Moncrieff,"Piper Laurie, Toni Collette, Marcia Gay Harden, Brittany Murphy"
Unknown,2006,Simon Brand,"Jim Caviezel, Bridget Moynahan, Greg Kinnear, Joe Pantoliano"
Gray Matters,2006,Sue Kramer,"Tom Cavanagh, Molly Shannon, Bridget Moynahan, Heather Graham"
The Ultimate Gift,2006,Michael O. Sajbel,"Bill Cobbs, Drew Fuller, Abigail Breslin, James Garner"
El Cortez,2006,Stephen Purvis,"Bruce Weitz, Tracy Middendorf, Lou Diamond Phillips, Glenn Plummer"
My Name Is Albert Ayler,2006,Kasper Collin,"John Coltrane, Edward Ayler, Albert Ayler, Donald Ayler"
Away from Her,2006,Sarah Polley,"Julie Christie, Gordon Pinsent, Michael Murphy, Stacey LaBerge"
The Last Winter,2006,Larry Fessenden,"James Le Gros, Zach Gilford, Connie Britton, Ron Perlman"
Diggers,2006,Katherine Dieckmann,"Ron Eldard, Maura Tierney, Paul Rudd, Ken Marino"
Inland Empire,2006,David Lynch,"Karolina Gruszka, Krzysztof Majchrzak, Grace Zabriskie, Laura Dern"
The Queen,2006,Stephen Frears,"James Cromwell, Helen Mirren, Michael Sheen, Alex Jennings"
Little Children,2006,Todd Field,"Kate Winslet, Patrick Wilson, Jackie Earle Haley, Jennifer Connelly"
Half Moon,2006,Bahman Ghobadi,"Farzin Sabooni, Ismail Ghaffari, Kambiz Arshi, Allah-Morad Rashtian"
Material Girls,2006,Martha Coolidge,"Maria Conchita Alonso, Haylie Duff, Hilary Duff, Anjelica Huston"
Nightmare Man,2006,Rolfe Kanefsky,"Tiffany Shepis, Blythe Metz, Luciano Szafir, Aaron Sherry"
Alex Rider: Operation Stormbreaker,2006,Geoffrey Sax,"Sophie Okonedo, Mickey Rourke, Sarah Bolger, Alex Pettyfer"
Shock to the System,2006,Ron Oliver,"Michael Woods, Daryl Shuttleworth, Chad Allen, Sebastian Spence"
Eating Out 2: Sloppy Seconds,2006,Phillip J. Bartell,"Jim Verraros, Rebekah Kochan, Emily Brooke Hands, Brett Chukerman"
Behind the Mask: The Rise of Leslie Vernon,2006,Scott Glosserman,"Nathan Baesel, Angela Goethals, Zelda Rubinstein, Robert Englund"
The Groomsmen,2006,Edward Burns,"Edward Burns, Heather Burns, Brittany Murphy, Matthew Lillard"
The Host,2006,Bong Joon Ho,"Hae-il Park, Hee-Bong Byun, Kang-ho Song, Doona Bae"
Southland Tales,2006,Richard Kelly,"Sarah Michelle Gellar, Carlos Amezcua, Seann William Scott, Dwayne Johnson"
Shortbus,2006,John Cameron Mitchell,"PJ DeBoy, Peter Stickles, Paul Dawson, Sook-Yin Lee"
Frankenstein's Bloody Nightmare,2006,John R. Hand,"Chester Delacruz, John R. Hand, Amy Olivastro, Chip Chism"
Keeping Up with the Steins,2006,Scott Marshall,"Jeremy Piven, Daryl Sabara, Jami Gertz, Garry Marshall"
Mini's First Time,2006,Nick Guthe,"Nikki Reed, Carrie-Anne Moss, Alec Baldwin, Jeff Goldblum"
The War Tapes,2006,Deborah Scranton,"Ben Flanders, Mike Moriarty, Duncan Domey, Zack Bazzi"
Revoloution,2006,Bret Carr,"Burt Young, Bret Carr, Kumar Pallana, Starla Benford"
Waist Deep,2006,Vondie Curtis-Hall,"Larenz Tate, Shawn Parr, Meagan Good, Tyrese Gibson"
The Architect,2006,Matt Tauber,"Hayden Panettiere, Viola Davis, Anthony LaPaglia, Isabella Rossellini"
I'm Reed Fish,2006,Zackary Adler,"Victor Rasuk, Alexis Bledel, Schuyler Fisk, Jay Baruchel"
Them,2006,David Moreau,"Maria Roman, Michaël Cohen, Olivia Bonamy, Adriana Mocca"
Hollywood Dreams,2006,Henry Jaglom,"Zack Norman, Justin Kirk, Tanna Frederick, David Proval"
Boy Culture,2006,Q. Allan Brocka,"Darryl Stephens, Patrick Bauchau, Derek Magyar, George Jonson"
