title,year,metascore,mpaa_rating,runtime_min,genre,director,stars
Dodgson,2019,,,21.0,"Short, Drama",Daniel K. Demick,"Alex Scigliano, Elizabeth Officer, Tim Shelburne, Danny Schwarz"
Water Horse,2019,,,8.0,"Short, Horror, Thriller",Sean Temple,"Charlotte Rea, Darren Bailey, Lilith Hurley, Joe Covell"
From the Furnace,2019,,,,"Crime, Drama, Thriller",Isaac Stitt,"Johnathon Krautkramer, Keith Kelly, Hunter Ott, Dan Davies"
Bullet Gal,2019,,,5.0,"Short, Action, Music",Rosalie Ridler,"Sofia Toumbas, Billy Rowlands, Kristian Vergamalis, Frankie Ferraro"
Toilet of Satan,2019,,,4.0,"Short, Comedy, Fantasy",Sergey A.,Sergey A.
In the Midst of it All,2019,,,15.0,"Short, Drama",Maxamillian Hofgartner,"Kieran Gabbitus, Maxamillian Hofgartner, Isabella Stevenson-Olds, Dwayne Thompson"
Day Five,2019,,,,Short,Paul Miloslavsky,
YOU or ME,2019,,,,"Short, Drama, Thriller",Yana Zinov,Drew Schrum
Forest of the Dead Sharks,2019,,,50.0,"Action, Comedy, Horror",Sergey A.,Sergey A.
El valiente ve la muerte solo una vez,2019,,,,"Documentary, Short",Diego Enrique Osorno,
Captive State,2019,54.0,PG-13,109.0,"Action, Adventure, Drama",Rupert Wyatt,"John Goodman, Ashton Sanders, Jonathan Majors, Vera Farmiga"
The Directive,2019,,,113.0,"Action, Adventure, Comedy",Alexander Raye Pimentel,"Nicholas Winand, Kyle Abraham, Scott Thompson, Paul Askedall"
Medicine Men,2019,,,73.0,Comedy,Lexi White,"Nik Shay, Lexi White, Gemma Azriel-Keech"
Day Four,2019,,,,Short,Paul Miloslavsky,
Break Free: Two People. Two Years. One Dream,2019,,,125.0,"Documentary, Adventure",Lena Wendt,"Ulrich Stirnat, Lena Wendt, Fufu, Ziza"
La Catrina - Detrás del espejo,2019,,,11.0,"Short, Horror",Alfredo Leon,"Cristy Leiro, Cesar Mijangos"
Coco,2019,,,6.0,"Short, Drama, Thriller",Krtank Chaudhary,"Adeeba Khan, Nishu Malik, Amitabh Rai, Ayush Singh"
Day Three,2019,,,,Short,Paul Miloslavsky,
Coincidence,2019,,,25.0,"Short, Drama, Romance",Ken Sasaki,"Alexandra Andrews, Jai Braithwaite, Sebastian Johansson, Katelynn Thomas-Hall"
Taken from Me,2019,,,10.0,Short,Adam Salinas,"Josh Greiveldinger, Cassi Schiano, Marcus D. Moore, Joel Reitsma"
Katabatik Fisherman,2019,,,42.0,"Short, Adventure, Comedy",Dean Radovanovic,"Isac Graça, Victor Gonçalves, Luísa Fidalgo, Joana Pitta Groz"
Auggie,2019,44.0,,81.0,"Drama, Sci-Fi",Matt Kane,"Larisa Oleynik, Richard Kind, Christine Donlon, Susan Blackwell"
Suburban Wildlife,2019,,,90.0,Drama,Imogen McCluskey,"Maddy McWilliam, Hannah Lehmann, Priscilla Doueihy, Alex King"
#Like,2019,,,93.0,Thriller,Sarah Pirozek,"Marc Menchaca, Jeff Wincott, Samantha Nicole Dunn, Sarah Rich"
The Peanut Butter Falcon,2019,70.0,PG-13,97.0,"Comedy, Drama",Tyler Nilson,"Zack Gottsagen, Ann Owens, Dakota Johnson, Bruce Dern"
Someone Likes You,2019,,Not Rated,18.0,"Short, Drama",Michael Le Blanc,"Gina Manegio, Ricky Rogers"
Pickled Pussy Peter,2019,,,6.0,"Short, Fantasy",Aki Aitos,"Charley McMullen, Judaea Driscoll"
Repossession,2019,,,96.0,"Drama, Horror",Ming Siu Goh,"Gerald Chew, Amy Cheng, Sivakumar Palakrishnan, Rachel Wan"
Aea,2019,,,16.0,"Short, Drama",Dustin Nowlin,"Rachel Strongoli, Chuck French, Juliana Perel, Nico Zahniser"
Taxii,2019,,,12.0,"Short, Thriller",Arunjit Borah,"Dharam Chandel, Sanjeev Giriwer, Riya Khound, Avdhesh Kumar"
Day Two,2019,,,,"Short, Horror, Mystery",Paul Miloslavsky,
Blue,2019,,,22.0,"Short, Drama",Yifan Du,"Leif Lei, Zixiao Liu, Zhengzheng Ma, Wei Niu"
Únete a la revolución,2019,,,29.0,"Short, Sci-Fi",Miguel Salinas,"Juan Luis de Filpo, Mariana Gajma, Edgar Reyes, Miguel Rodriguez"
Subconscious nightmare,2019,,,6.0,"Short, Horror, Thriller",Sergey A.,Sergey A.
When the Light Burns Out,2019,,,,Drama,William Findinge,"Viola Ellehammer Dasseville, Daniel Mbala, Sabine Thun, Man Israel Ebaba"
Tolerance,2019,,,14.0,"Short, Thriller",Paul Laight,"Georgia Kerr, Patrick Tolan"
Welcome to the Dream Machine,2019,,,17.0,"Short, Music",Greg Ansin,
Cute Exorcist,2019,,,80.0,"Comedy, Horror",Vinicius J. Santos,"Marcelo Rodrigues, Gustavo Peres, Elaine Thrash Oliveira, Vinicius J. Santos"
Flag of Eden,2019,,,,Short,Pyotr Frontov,
Homocidium Teaser,2019,,,2.0,"Short, Drama",Tzvi Friedman,"Keith Hale, Gwen Phillips, Kenyon Phillips, Richard Phillips"
Egg life,2019,,,4.0,"Short, Comedy, Sci-Fi",Sergey A.,Sergey A.
The Corners of Your Smile,2019,,,,"Short, Drama",Mathilde Anglade,"Mathilde Anglade, Isobel Eveleigh"
Girlz to Men: A Documentary about Trans-men,2019,,,24.0,"Documentary, Short",Sharod Jordan,Jenae Mitchell
Girlz 2 Men: A Documentary about Trans-men,2019,,MA-13,24.0,"Documentary, Short",Sharod Jordan,
Day One,2019,,,,"Short, Horror",Paul Miloslavsky,
Lancaster Skies,2019,,Not Rated,98.0,"Action, Drama, War",Callum Burn,"Rosa Coduri, Kris Saddler, Josh Collins, Joanne Gale"
Moscow we will lose,2019,,,51.0,Documentary,Sergey A.,Sergey A.
"Pizza, Democracy & the Little Prince",2019,,,10.0,"Documentary, Short",Elena Horn,
From Love,2019,,,101.0,Drama,Nenad Mikovic,"Igor Djordjevic, Sonja Kolacaric, Hana Selimovic, Boris Komnenic"
I Wuuuvvv You So Much,2019,,,10.0,"Short, Comedy",Paul Usungu,"Maximus Karafilis, Frank DeTommaso, Nazsir Givens, Katana Roman"
Dark metro driver,2019,,,5.0,"Short, Horror, Thriller",Sergey A.,"Nikolay Yeriomin, Sergey A."
Forgiveness,2019,,,36.0,"Short, Drama",Idris Pearson,"Beasy Baybie, Chayil Eden, Keven Frederick, Laura Lee Dufresne Houle"
34th Film Independent Spirit Awards,2019,,,,News,Joel Gallen,"Amanda Seyfried, Marisa Tomei, Dakota Johnson, Joaquin Phoenix"
Moonbow,2019,,,84.0,Horror,William Robert Chadwell,"Haley Banta, Keaton Bernardo, Michael David, Roshown Gateskill"
Salt Life: The Movie,2019,,,56.0,"Crime, Drama",Luke McCoy Jr.,"Juan Doe, Lu Cruise, Tokyo Jetz, Get Gramz"
Deer Lights,2019,,,13.0,"Short, Drama, Thriller",Brian Klewin,"Nyssa Greatorex, Sam Kozé"
Set,2019,,,27.0,"Short, Drama",Andrew S. Williams,"Grant Alex, Mandi Baretto, Mysti Bluee, Marie Bogacz"
Life in Rainbow,2019,,,127.0,"Adventure, Drama, Mystery",Razibul Hossain,"Mina Petkovic, Shams Hassan Kadir, Muhtasim Shojon, Khing Shai Mong Marma"
The Lioness,2019,,,48.0,Thriller,Richard Poche,"Giuliana Gutierrez, Lacy Hartselle, Desi Ivanova, Gabriele Orebaugh"
Talking About Trees,2019,,,93.0,Documentary,Suhaib Gasmelbari,"Manar Al Hilo, Suleiman Ibrahim, Altayeb Mahdi, Ibrahim Shaddad"
The Sunflower Child,2019,,,6.0,"Short, Drama",RJ Siu,"Constance Parng, Jason Jia, Joanne Shen"
Song of God,2019,,,60.0,Documentary,Aref Mohammadi,"Salman Hosseini, Donya Kamali, Shapour Kamali, Bahman Kazemi"
Old Crimean bridge,2019,,,4.0,"Documentary, Short, History",Sergey A.,Sergey A.
Collision,2019,,,7.0,"Short, Sci-Fi",Jonell Rowe,"Micheal Ahrian, Marion Barron, Christian Davidson, Rochelle De-Terville"
Turn on my light,2019,,,,"Short, Drama",Mariya Denkova,"Rashid Aitouganov, Ekaterina Dar, Mariya Denkova, Alexandra Verkhoshanskaya"
Admit One,2019,,,13.0,"Short, Drama",,Brendan Bowers
Chaos,2019,,,126.0,"Drama, Fantasy",Sergey A.,"Sergey A., Nikolay Yeriomin"
2nd Chance,2019,,,,"Short, Drama",Hugo Teugels,"Tatiana Bilan, Evi Stamatiou, Hugo Teugels"
Teacher's Choice,2019,,,7.0,"Short, Drama",Aki Aitos,Georgetta Buggs
Mr. Darcy,2019,,,37.0,Short,Xuyu Zhang,Darcy Lee Pearson
About a War,2019,,,84.0,"Documentary, History, War",Daniele Rugo,"Hasan Aboud, Nassim Assaad, Ahed Bhar, Assad Chaftari"
Oray,2019,,,100.0,Drama,Mehmet Akif Büyükatalay,"Zejhun Demirov, Deniz Orta, Cem Göktas, Mikael Bajrami"
2040,2019,77.0,,92.0,Documentary,Damon Gameau,"Damon Gameau, Eva Lazzaro, Zoë Gameau, Davini Malcolm"
Funny Face,2019,,,4.0,"Short, Fantasy",Felix Pineiro,"Gabija Guzauskaite, Camille Kitt, Kennerly Kitt, Mary Loz"
Karmacoda: Unglued,2019,,,,"Short, Music",Hirokawa Hayashida,"Ryeon Hwa Yeo, Brett Crockett, Jessica Ford, Eric Matsuno"
Bait,2019,84.0,,89.0,Drama,Mark Jenkin,"Edward Rowe, Mary Woodvine, Simon Shepherd, Giles King"
Mingle,2019,,,12.0,"Short, Comedy",Ty Cooper,"Matthew Reid Jr., Youlim Nam, Precious Coleman, Camille Jaeck"
Death cage,2019,,,5.0,"Short, Horror, Thriller",Sergey A.,Sergey A.
Searching for Skylab,2019,,,95.0,"Documentary, History",Dwight Steven-Boniecki,"Joe Kerwin, Paul Weitz, Jack Lousma, Owen Garriott"
Novodevichy cemetery,2019,,,19.0,"Documentary, Short",Sergey A.,Sergey A.
Neo,2019,,,1.0,"Short, Mystery",Liam Resnekov,"Chris Drummond, Neo Song"
Kruty 1918,2019,,,110.0,"Action, Drama, History",Aleksey Shaparev,"Maksim Donets, Andrey Fedinchik, Alina Kovalenko, Evhenii Lamakh"
Cold Pursuit,2019,57.0,R,119.0,"Action, Crime, Drama",Hans Petter Moland,"Liam Neeson, Laura Dern, Micheál Richardson, Michael Eklund"
Modri zajcek,2019,,,12.0,"Short, Drama, Mystery",Jan Fabris,"Sara Horzen, Miha Rodman, Zana Sreckar"
Tails of Iceland,2019,,,65.0,Documentary,April Anderson,"Erna Arnardottir, Súsanna Katarína Guðmundsdóttir, Hinrik Gylfason, Hekla Katarína Kristinsdóttir"
The Snatchers,2019,,,10.0,"Short, Action, Comedy",Maximilian Williams-Forbes,"Johan Berg, Malin Lövkvist, Patryk Mentel, Maximilian Williams-Forbes"
Lúbtha,2019,,Not Rated,14.0,"Short, Drama, Romance",Ethan McDowell,"Oliver Scullion, Conor Gormally, Josh Hegarty, Ciara Gallagher"
Nuit Blanche,2019,,,,"Short, Drama",Lou Anna Reix,"Noé Alary, Adeline Hervouet, Oscar Mijangos, Lou Anna Reix"
Daddy,2019,,,8.0,"Short, Fantasy, Mystery",Shanghai Chang,Shanghai Chang
Moscow massacre,2019,,,4.0,"Short, Crime, Horror",Sergey A.,"Sergey A., Georgiy Kostenko, Rina Soboleva"
Sea of Shadows,2019,72.0,PG-13,105.0,"Documentary, Crime, History",Richard Ladkani,"Romel Eduardo Ledezma Abaroa, Rafael Pacchiano Alamán, Hector Capetillo, Andrea Crosta"
A Day with My Family,2019,,,,Short,Antoine Therrien Chevalier,
Alex and the Ghost,2019,,,,"Short, Comedy",Joseph R. Davis,"Alessandra Guarino, Noel Jason Scott"
The Fixer,2019,,,95.0,"Crime, Drama, Thriller",Nicholas J. Michalak,"Nick Doetsch, Carmina Elizabeth, Ryan Salzwedel, CJ Koenig"
Last Night I Saw You Smiling,2019,,,78.0,Documentary,Kavich Neang,"Chunnat Pok, Kimleang So, Nary Bun, Sophanara Dy"
La Trifulca III. Five Billion Dollar. A Trilogy,2019,,,,"Documentary, Short",Arturo Pulido,
Chiroptera,2019,,,131.0,"Action, Horror, Thriller",Danial Donai,"Mark Hembrow, Marco Dapper, Dan Balcaban, William Wensley"
A punk Daydream,2019,,,75.0,"Documentary, Drama",Jimmy Hendrickx,
La Trifulca II. Five Billion Dollar. A Trilogy,2019,,,,"Documentary, Short",Arturo Pulido,
023_GRETA_S,2019,,,,"Short, Drama",Annika Birgel,"Tania Carlin, Lilian Mazbouh, Gerrit Neuhaus"
Judy & Punch,2019,59.0,,105.0,"Comedy, Crime, Drama",Mirrah Foulkes,"Mia Wasikowska, Damon Herriman, Benedict Hardie, Jacek Koman"
Velvet Buzzsaw,2019,61.0,R,113.0,"Horror, Mystery, Thriller",Dan Gilroy,"Jake Gyllenhaal, Rene Russo, Zawe Ashton, Tom Sturridge"
Monos,2019,78.0,R,102.0,"Adventure, Drama, Mystery",Alejandro Landes,"Sofia Buenaventura, Julián Giraldo, Karen Quintero, Laura Castrillón"
Sound of Two,2019,,,12.0,"Short, Mystery, Thriller",Sachin Ramdas,"Keith Dallison, Ashley William Griffiths, Hanna Liatsko, Stuart Richard"
Kindness,2019,,,9.0,"Short, Drama",Sadie Raeburn,Sadie Raeburn
Deery: Off the Wall,2019,,Not Rated,79.0,"Action, Comedy, Thriller",Todd Magnuson,"John Barnes, Dan Farris, Terri Lawrenz, Todd Magnuson"
Hell,2019,,,5.0,"Short, Fantasy, Horror",Sergey A.,Sergey A.
One Child Nation,2019,85.0,R,88.0,"Documentary, History",Nanfu Wang,"Nanfu Wang, Zaodi Wang, Zhimei Wang, Tunde Wang"
The Last Black Man in San Francisco,2019,83.0,R,121.0,Drama,Joe Talbot,"Jimmie Fails, Jonathan Majors, Rob Morgan, Tichina Arnold"
Jag skiner inte utan er mina bröder,2019,,,5.0,"Short, Drama",Alexander Abdallah,"Mustafa Al-Mashhadani, Daniel Djordjevic, Alexander Kwiek, Leonardo Kwiek"
La Migra,2019,,,6.0,"Animation, Short, Crime",William Figueroa,Tiziano Lento
The Phantom 52,2019,,,7.0,"Animation, Short",Geoff Marslett,"Tom Skerritt, Trieste Kelly Dunn, Warren Etheredge, Howe Gelb"
Så Länge Som Det Svänger,2019,,,12.0,"Documentary, Short, Biography",Joakim S. Hammond,"Helin Ertik, Michael Lundgren, Ove Lundgren, Nathalie Puronpää"
"Salt, Pepper to Taste",2019,,,22.0,"Short, Drama",Teymur Hajiyev,"Turan Abbasov, Ziya Agha, Leyla Madatkhanova, Zulfiyya Nazar Mammadova"
Behind the Bullet,2019,,,84.0,Documentary,Heidi Yewman,"Daron Dwyer, Taylor Dwyer, Kevin Leonard, Will Little"
Samoeraai,2019,,,,"Short, Drama",Sven Peetoom,Marcelle Arriëns
Ghost,2019,,,9.0,Short,Antonio Salinas,"Anita Bokil, Jared Morton, Ivan Iceberg Pineda, Carlos Rojo"
The bonding frontier. A history of the Manuel Family Lands,2019,,,43.0,"Documentary, Short",Alfonso Burgos Risco,"José Vicente Cabezuelo Pliego, Pierre Guichard, Enric Guinot i Rodríguez, Aniceto López Serrano"
Den gula jackan,2019,,,29.0,"Short, Drama",Andreas Mortensen,"Johanna Smitz, Anki Larsson, Sofie Heinsvig, Thomas Forsberg"
The Toad,2019,,,84.0,Thriller,Al Rios-Hannon,"Vanessa Leonard, Dustin Mills, Kenzie Phillips, Kayla Elizabeth"
Always,2019,,,11.0,Short,Maria Tuadi,"Maria Tuadi, Malcolm Paul"
Lit Girl,2019,,,11.0,Short,Rain Valdez,"Aryeh-Or, Blossom C. Brown, Alexandra Grey, Carolina Gutierrez"
Cry for the Bad Man,2019,,,70.0,"Horror, Thriller",Sam Farmer,"Camille Keaton, Scott Peeler, Karen Konzen, Eric Dooley"
Myra,2019,,,54.0,"Comedy, Crime, Drama",Christopher Baiza,"Johanna Padilla-Pineda, Mya Taylor, Oscar Torre, Laura Patalano"
Connection,2019,,,7.0,"Short, Comedy",Erifili Davis,"Chris Anemaat, Erin Walsh, Sasha Brook"
The Mosquito Philosophy,2019,,,70.0,"Comedy, Drama",Jayaprakash Radhakrishnan,"Pradeep Damodharan, Sindhu Jayaprakash, Ravi Kathiresan, Suresh Somasundaram Kumar"
Close,2019,51.0,TV-MA,94.0,"Action, Drama, Thriller",Vicky Jewson,"Noomi Rapace, Olivia Jewson, Abdellatif Chaouqi, Sophie Nélisse"
Undeterred,2019,,,76.0,Documentary,Eva Lewis,
Polly stays Alive,2019,,,,"Short, Comedy, Fantasy",Valentin Boczkowski,"René Sielemann, Valentin Boczkowski, Joschka Gutensohn, Valeria Dück"
Herbie,2019,,,2.0,"Short, Horror, Thriller",Miguel Alejandro Marquez,"Simone Mareuil, Cade Roberti, Nick Sadera"
Poliorkia,2019,,,101.0,"Adventure, Biography, History",Vasilis Tsikaras,"Dezy Sempekopoulou, Dimitris Papadopoulos, Giorgos Zois, Lefteris Dimiropoulos"
Award Season,2019,,,2.0,"Short, Drama",Bryan Christian,Nora Hyde
The McCartneying,2019,,,10.0,"Short, Comedy, Drama",Connor Fenton,"Ben Cotton, Sarah England, Rory Gauld, Nick James"
Nevrland,2019,,,88.0,"Drama, Horror, Mystery",Gregor Schmidinger,"Simon Frühwirth, Paul Forman, Josef Hader, Wolfgang Hübsch"
Bequeathed,2019,,,8.0,"Short, Horror",Michael McCallum,"Scott Baisden, Steve Ledyard"
Loser,2019,,,7.0,"Short, Comedy",Erik Weise,Luis Huayna
God of Waiting,2019,,,5.0,"Short, Comedy",Erik Weise,"Josip Galic, Dominik Hermanns"
A Mulher que eu era,2019,,,12.0,"Short, Drama",Karen Suzane,
Spiral Walk,2019,,,3.0,"Short, Drama",Sebastian Sabal Bruce,"Ngozi Jane Anyanwu, Ornella Ngingo"
Little brat,2019,,,4.0,"Short, Music",Shahriar Hanife,
Place at Earth,2019,,,4.0,"Documentary, Short",Sergey A.,Sergey A.
Star Wars: Hand of the Empire,2019,,,50.0,"Action, Sci-Fi",Nathan Thomas Milliner,"John Wells, Krystabelle Dawn, Darrin Dickerson, Don West"
L'étreinte des hommes,2019,,,2.0,"Short, Drama, Musical",Nicolas Goergen,"Matthieu Charneau, Lazaro Cuervo Costa, Bastien Trouvé, Fayçal Acloque"
Sparrow Hills Cableway,2019,,,6.0,"Documentary, Short",Sergey A.,Sergey A.
Honor,2019,,,16.0,"Short, Drama, Thriller",Jacqueline Pepall,"Lucy Hawkins, Taylor Napier"
Bite,2019,,,4.0,"Short, Thriller",Alessio Marzilli,"Ste Bergin, Grace Butler, Ellie Crouch, Gabin Kongolo"
Face Swap,2019,,,5.0,"Short, Sci-Fi",David Gidali,"Troy Caylak, Megan Gray, Noelle Urbano, Ione Butler"
"Nasci Pra Ti, Antes de Haver o Mundo",2019,,,19.0,"Short, Drama",Lucas Marques,"Julia Moraes, Vitória Raciane"
Alexa,2019,,,7.0,"Short, Drama",Michelle Foster,"Rick Amsbury, Jody Oxenham, Jacob Phair"
El Frío Poder,2019,,,6.0,"Short, Drama, Fantasy",Rubén Jiménez,"Javier Alegría, Nerea Ayerbe, Mireia Labazuy, Paula Labazuy"
Display,2019,,,72.0,"Mystery, Reality-TV, Thriller",Orhan Selalmaz,"Anja Bothe, Bella Gurevich, David Wisniewski"
Prazdnik,2019,,,74.0,Comedy,Aleksey Krasovskiy,"Yan Tsapnik, Elena Babenko, Pavel Tabakov, Anfisa Chernykh"
Picasso,2019,,,10.0,"Documentary, Short, Biography",Sergey A.,"Sergey A., Pablo Picasso"
Killing Kennedy,2019,,,3.0,"Short, Drama",John Perivolaris,"Ryan Bain, John Wilde"
Mayadweep (An Island of Illusion),2019,,,21.0,"Documentary, Short, Drama",Chandan Sen,"Hetram Beniwal, Sachin Pilot, Gurbal Pal Singh Sandhu, Sant Balbir Singh Seechewal"
Fifty Five,2019,,,,"Short, Comedy",Marco Iammatteo,"Teresa Picciano, Luigi Buffone, Sean Curley, Sabrina D'Alelio"
Teddy Bears Live Forever,2019,,,90.0,Drama,Fabrizio Federico,Noor Lawson
Stray Cat,2019,,,17.0,"Short, Drama",Ondrej Svestka,"Lorena Galjanic, Darren Hall, Lorcan J O'Neill, Rob Moran"
Make Europe Great Again Vol. 1,2018,,,73.0,"Documentary, Adventure",Ike Novikoff,
Interview,2018,,,15.0,"Short, Sci-Fi",Kuo Hsu Lee,"Wei Hong Chu, Charity Lai, Bo Yang Lee, Catherine Li"
Aperture,2018,,,22.0,"Short, Drama",Samantha Winter,"Naomi Borges, Samarah Conley, Margaret Reed, Dana Marisa Schoenfeld"
FeeWee Helms: I'm Over It,2018,,,,"Short, Music",Ruel Smith,"Phylicia Wissa, Bileko Wissa, Keenan Baker, Angela K. Thomas"
Bellmouth,2018,,,16.0,"Short, Drama",Joseph Roberts,"Lisa Dwyer Hogg, Justine Emma Moore, Alice O'Connell, Lance O'Reilly-Chapman"
Three Hours for the World to End Twice,2018,,,,"Short, Sci-Fi",Natalie Lauer,"Karl Backus, Piper Backus, Sophie Backus, Letizia Baker"
Winter horror,2018,,,4.0,"Short, Horror, Thriller",Sergey A.,"Sergey A., Yuriy Artemyev"
God Abandoned,2018,,,,"Short, Horror",Jonathan Gauthier,"Amanda Leigh Byers, Max Ebert, Michael Witkes"
Taste Buds,2018,,,13.0,"Short, Comedy",Sebastián Carmona Soto,"Johnnie Day, Nick Drummond-Hay, Michael MacKinnon, Bill McNaughton"
Ally Chia,2018,,,18.0,"Short, Comedy, Drama",Samantha Tan,"Peggie Ng, Ikenna Okoye, Samantha Tan"
Her Turf,2018,,,,"Documentary, Short",Shantel Hansen,"Annice Canady, Tangela Mitchell, Mary Podesta"
Quando as pedras dilatam (When stones swell),2018,,,25.0,"Short, Mystery",Diego Amorim,"Dani Câmara, Henrique Patuá, Isabel Abrantes"
Nathicharami,2018,,,113.0,Drama,Mansore,"Sruthi Hariharan, Sanchari Vijay, Sharanya, Balaji Manohar"
The Blue Island,2018,,,22.0,Short,Sofia Melo,
Secretly You'll Know,2018,,,26.0,"Animation, Short",Elohim Sanchez,
The Swimmer (Plovets),2018,,,13.0,"Animation, Short",Olga Poliektova,
I'm 13 YO!,2018,,,24.0,"Short, Comedy",Jeneen Robinson,"Kayla Janelle Carr, Isaiah Catubig, Michelle Haro, Janae Nicole Heard"
Title TBD,2018,,,10.0,"Short, Comedy",Mason W. Shell,"Jesse Byron, John Dyess, Robert Henshaw, Cole Riley"
La Confessione - JiokE,2018,,,7.0,"Short, Drama",Luca Bertossi,"Sebastiano Zoletto, Alissa Decimo, Marco Bertossi, Monica Sebastianutti"
Impartial,2018,,,70.0,Documentary,Adam Collins,"Jeremy Plume, Ben Duncan, Adam Collins, Fazale Rana"
The Long Days,2018,,,13.0,"Short, Drama",Anant Duseja,"Moumita Moitra, Renata Heidel, Shipra Bhardwaj"
The Nothing Man,2018,,,51.0,Drama,Sean Weathers,"Sybelle Silverphoenix, Sean Weathers, Rejeanne Raymond"
Big Blind,2018,,,10.0,"Short, Drama",Bernadeta Beange,"Mike Narouei, Leah Cunard, Vasile Marin, Jamie Mills"
Eheguide,2018,,,12.0,"Short, Comedy",Francesco Ria,"Monika Varga, Philippe Schuler, Alice Bauer, Levi Rusterholz"
New Dawn,2018,,,6.0,Short,Nirmal Thomas,
Enjoy Cookies,2018,,,34.0,"Short, Comedy, Crime",Giacomo Cracco,"Laura Locatelli, Antonio Rocco, Susanna Giaroli, Enzo Mazzullo"
No Accent,2018,,,23.0,"Short, Comedy",Ilanit Shlosberg Moreno,"Ala Dakka, Yara Elham Jarrar, Yuri Kazantzev, Gregory Tal"
Free fly from the fifth floor,2018,,,15.0,"Short, Drama",Araz Pourvatan,"Narmin Safarova, Gunel Xezel"
Edgar Allan Poe's Spirits of the Dead,2018,,,5.0,"Short, Drama, Fantasy",Gareth James,"Robin Nicolle, Juliet Lochrin, Harriet Lucy Baker-Webb, Rebecca Matthews"
The 6th Kiss,2018,,,111.0,"Comedy, Romance",Ryan Parker,"Ethan Farrell, Michael MacKinnon, Raine Welsh, Caitlin Stanley"
A Surprise Wedding: 7 years of struggle After the Tohoku Earthquake and Tsunami,2018,,,29.0,"Documentary, Short",Yuto Obara,"Masayoshi Sato, Yoshimi Sato"
Dual-purpose,2018,,,5.0,"Animation, Short",Mariia Sediaeva,"Rif Rafikov, Maria Zanevskaya, Mariia Sediaeva"
Sancta Maria Goretti,2018,,,,Short,James Sprott,"Baylee Breen-Wood, Aliana Cerullo, Viola Cerullo, Zack Currie"
Bracewater Teaser,2018,,,,"Short, Crime, Thriller",Cynthia Crofoot,"Cynthia Crofoot, Christopher Crofoot"
Paris you got me,2018,,,9.0,"Short, Romance",Julie Boehm,"Ksenia Parkhatskaya, Liam Scullion"
The Inside,2018,,,,"Short, Horror, Thriller",Malcolm Tan,"Hsu Chia-Ling, Yang Deng-Jyun"
Living Stained,2018,,,5.0,"Short, Drama",Eric Chan,Eric Chan
High Tide,2018,,,,"Short, Comedy",Lindsay Vitale,"Tim Dougherty, Carly Ann Filbin, Freddy Froilan Loayza, Fernando Moya Delgado"
Black Atlantic,2018,,,86.0,,Adrian Nieves,"Carolyn Kirsch, Leo Petry"
Beat Dwn,2018,,,30.0,Action,An Dinh,"Rémy Alves Dos Santos, Alex Andres, Omari Barnes, Jay Bautista"
Rab.bit,2018,,,16.0,"Short, Sci-Fi, Thriller",Federico de Manachino,"Shian Denovan, Beatrice May, Julia Reid, Will Timbers"
Sweet Penny and the Lion,2018,,,8.0,"Animation, Short, Family",Richard Fairgray,
Chance Has No Empathy,2018,,,97.0,Thriller,Gabriel Saint,"Will Rothhaar, Brooke Culbertson, Maddisyn Carter, Nancy Linehan Charles"
Camisa al Revés: Ruby's Quinceañera,2018,,,5.0,"Short, Music",Andrew Vasquez,"Mercedes Floresislas, Andrew Medina, Sydney Presley, Yolanda Emma Rieken"
Operation: Freedom,2018,,,,"Short, Thriller",Kevin Ghee,"Nakia Dillard, Abraham Makany, Ian Jarvis, Bruce Kirkpatrick"
Whatever,2018,,,,"Documentary, Short",Tinx Chan,Wendy Fung
Introduction to Epilogue,2018,,,9.0,"Short, Drama",Indra Sproge,"Indra Sproge, Renars Kaupers, Kate Pavula"
Interrupted Marriage,2018,,,45.0,"Drama, Family, Romance",Vamsi Kurli,"Annalia Fraser, Michael Lake, Alyssa Lucas, Henkelina Mick"
Grab This!,2018,,,20.0,"Short, Drama",Kendall Brunson,"Karen Konzen, Scott Broughton, Kenny Logsdon, Bill Ratliff"
Noodling,2018,,,,"Short, Comedy",Jason O. Silva,"Sol Landerman, Greg Tamura"
Bleu Danube,2018,,,10.0,Short,Anne-Laure Marie Huet,"Lola Créton, Naël Malassagne"
Stifado,2018,,,50.0,Drama,Marios Glöckner,"Kerim Waller, Tijan Njie, Hisham Morscher, Manuel Sonnleitner"
"With Love, The Neighbor",2018,,,14.0,"Short, Comedy",Donatela Vacca,"Siena Bjornerud, Kelton White"
Strangers in Love,2018,,,,"Short, Drama",Dionne van den Berg,"Dionne van den Berg, Anton Antoniadis, Jennifer Gould, Eric Baldwin"
Wonderwall,2018,,,7.0,"Short, Drama, Fantasy",Alexander Denysenko,"Vasily Pimenov, Oksana Slyzhuk"
Squatters,2018,,,102.0,"Crime, Horror, Thriller",Luan Kryeziu,"Luis Centeno, Edi Mehana, Jim Nieciecki, Charles E Tiedje"
My Quarterlife Crisis,2018,,,7.0,"Short, Comedy",Ryan Caldwell,"Thom Bright, Ford Fanter, Kate Frisina-White, Jimmy Gardner"
Posi+ive,2018,,,26.0,"Documentary, Short",Patrick McNulty,
A Fistful of Molars,2018,,,4.0,"Short, Horror",Ryan Couldrey,"Darby Butcher, Eleni Nico, Stephanie Herrera, Steve Kasan"
