title,year,metascore,mpaa_rating,runtime_min,genre,director,stars
Pasty Faces,2000,,,85.0,Comedy,David Wilde,"David Wilde, Chloë Annett, Alan McCafferty, Martin McGreechin"
Voyeur.com,2000,,R,95.0,Horror,Serge Rodnunsky,"Adam Weiner, Tawnya Richardson, Jena Romano, Travis Shakespeare"
Ultimate Target,2000,,,83.0,"Action, Thriller",Darren Doane,"Gary Daniels, Michael Madsen, John Koyama, Christopher Stapleton"
Backyard Dogs,2000,,R,96.0,"Action, Sport, Comedy",Robert Boris,"Roger Fan, Scott Hamm, Bree Turner, Walter Jones"
Hoverboy,2000,,,,"Short, Comedy, Animation",Marcus Moore,
Hunting Season,2000,,Unrated,90.0,Horror,Jeff Leroy,"Cindy Pena, Chris Lerude, Ken X, Robert Croker"
Closing the Deal,2000,,,,"Romance, Comedy",Art Altounian,"Michael Bergin, Michael Cambridge, James Wilder, Todd Eckert"
The Blood,2000,,,,Horror,David Zen Mansley,"Mark Borkowski, Andre Clauss, Garry Ferrington, David Zen Mansley"
The Human Quality,2000,,,85.0,"Horror, Sci, Fi",George Blumetti,"Michaela Hughes, Nic Greene, Alec Timerman, Don Fischer"
From Swastika to Jim Crow,2000,,,60.0,Documentary,Lori Cheatle,"John Hope Franklin, Luc Sante"
Drive In,2000,,R,77.0,Horror,Chuck DeBus,"Brenton Earley, Rick Perkins, Deshja Driggs, Alex Grant"
The Announcement,2000,,,90.0,Drama,Troy Miller,"Mark Addy, Kate Hardie, Morwenna Banks, David Baddiel"
The Perfect Nanny,2000,,TV-14,90.0,"Drama, Mystery, Thriller",Robert Malenfant,"Bruce Boxleitner, Scott Terra, Dana Barron, Tracy Nelson"
"Land of 1,000 Dances",2000,,,,,Francisco Aragon,"Francisco Aragon, Janelle Paradee, Jeremy Ray Valdez, Greg Alvarez"
Catacombs,2000,,,89.0,Horror,Todd Sheets,"Abe Dyer, Rico Love, Ari Bavel, Jen Davis"
The Messiah XXI,2000,,,84.0,"Documentary, Music",William Cosel,"Lorna Dempsey, Roger Daltrey, Adele Dempsey, Chloë Agnew"
Via Dolorosa,2000,,,99.0,Drama,John Bailey,David Hare
Still Doing the Safety Dance,2000,,,77.0,Comedy,Dan White,"Steven R. Barron, Diedre Kilgore, Maleah Jacobs, Brad Cook"
Comeback,2000,,,87.0,"Drama, Comedy",William Kelly,"Devon Cormack, Eddie McNulty, Daryl Dismond, David Frank"
Into My Arms,2000,,,14.0,"Short, Drama",Scot Thiessen Gregory,"Charles Edwin Powell, Tara Rosling"
In Search of the Lincoln Brigade,2000,,,,Documentary,Robert J. Emery,
A Good Burn,2000,,,,"Crime, Comedy",Kyle Davison,"Françoise Yip, Alisen Down, Ron Selmour, Peter Williams"
A Deadly Compromise,2000,,,,Thriller,Giovanni Robbiano,"Nicola Farron, Violante Placido, Elzhana Popova, Massimo Olcese"
What You Lookin' at,2000,,,,"Short, Comedy",Rebecca Scaife,"Phil Hawn, Disraeli, Sehra Han, Clarissa Dolphin"
Cod: A Biography,2000,,,,,Kevin McMahon,
Little Sister,2000,,,26.0,"Short, Romance, Comedy",Paul Bock,"Tori McPetrie, Justin Doran, Patrick Yonally, Jamie Tompkins"
Flamenco Shoe,2000,,Unrated,,"Short, Drama",Pascale Marcotte,Maud Saint-Germain
Borders,2000,,,,Short,Jonathan Nixon,"G. Anthony Joseph, Forest Freedom Guider, Dylan Tarason, Deborah Lynn Meier"
Spoof! An Insider's Guide to Short Film Success,2000,,,11.0,"Short, Comedy",William Sherak,"Astrid, Danny Strong, Marty Belafsky, Dustin Lee Abraham"
Little Insects,2000,,,,,Gregory Gieras,"Kaye Ballard, Zach Galligan, Neil Mandt, David Naughton"
Maggie Moore,2000,,,,"Short, Romance, Comedy",David Burkman,"Peter Bedgood, Alison Simpson, Phil Hawn, David Norona"
The Big Menarski,2000,,,,,Vance Kotrla,"Vance Kotrla, Jenny Powell, Jason Tiefel, Chris Crowson"
Paranoid,2000,,,8.0,"Short, Horror, Thriller",Jay Holben,"Tamara Balyan, Patrick Gealogo, Tonya Ivey, Mark Reynolds"
