title,year,metascore,mpaa_rating,runtime_min,genre,director,stars
Pig,2018,,,104.0,"Comedy, Crime, Drama",Mani Haghighi,"Hasan Majuni, Leila Hatami, Leili Rashidi, Parinaz Izadyar"
Le Balm,2018,,,18.0,"Short, Comedy",Monica Nelson,Cecilia Corrigan
No More Love Songs,2018,,,5.0,"Short, Music",Cat Ventura,Eytan Ribner
Taapmaan,2018,,Not Rated,70.0,"Action, Drama",Prashast Singh,Prashast Singh
Days of Power,2018,,TV-MA,102.0,"Action, Drama, Music",Jason Pagnoni,"Eric Roberts, Eliza Roberts, Jenny Hutton, Robert Venable"
Plantain,2018,,,90.0,"Biography, Drama, History",Andrea Pagnes,"Andreas Bauer, Stephan Knies, Josephine Macri, Andrea Pagnes"
7 Days in Entebbe,2018,49.0,PG-13,107.0,"Action, Drama, History",José Padilha,"Batsheva Dance Company, Zina Zinchenko, Ben Schnetzer, Daniel Brühl"
Hard Paint,2018,,,118.0,Drama,Filipe Matzembacher,"Shico Menegat, Bruno Fernandes, Guega Peixoto, Sandra Dani"
Entre a cruz e as máscaras,2018,,,10.0,"Short, Drama, Fantasy",Cid Machado,"Lucas Arcanjo, Rogério Carlos Fábio, Jennifer Rodrigues, Victor de Lima Triveloni"
The Calling,2018,,,3.0,"Short, Biography",Lydia Isnanto,"Tony Gapastione, Dominic Devitis, Anthony Devitis, Irving Ruan"
To Catch a Fish,2018,,,17.0,"Short, Comedy, Romance",Dana Itani,"Roop Singh, Maximilian Schlossberg, Ali Habhab, Kyle Colton"
"Ecuador, My Power into the Constitution?",2018,,,111.0,Documentary,François Mas,
Hell's Image,2018,,Not Rated,58.0,"Horror, Sci-Fi",Don Nagle,"Jimmy Leamer Jr., Brandon Nagle, Cameron Nagle, Don Nagle"
Irreplaceable You,2018,34.0,TV-MA,96.0,"Comedy, Drama, Romance",Stephanie Laing,"Gugu Mbatha-Raw, Michiel Huisman, Steve Coogan, Timothy Simons"
303,2018,,,145.0,"Comedy, Drama, Romance",Hans Weingartner,"Mala Emde, Anton Spieker, Arndt Schwering-Sohnrey, Thomas Schmuckert"
Anxiety Number 6895,2018,,,3.0,"Short, Fantasy",Jim Ruel,"Ed Batizu, Jim Ruel"
Chasing Rainbows,2018,,,25.0,"Short, Drama",Eilera Ellie,"Elliot Slade, Rebecca Thompson"
Will Gittens: A Day with You,2018,,,5.0,"Short, Drama, Music",Tara Atashgah,"Will Gittens, Brian Ramian, Will Spencer, Isaiah C. Morgan"
Witch 2,2018,,Not Rated,60.0,"Drama, Fantasy, Horror",Sergey A.,"Sergey A., Silvia de Satkliff"
Donor,2018,,,21.0,"Short, Horror, Thriller",Lori Alex,"Lori Alex, Erin Capable, Ellie James, Tor Licit"
Anatoli's Dream,2018,,,100.0,Drama,Mohammad Ravandi,"Benyamin Ahmadi, Azimi Fereydon, Amir Samloo, Sanaz Zarrinmehr"
Laundry Day,2018,,,7.0,"Short, Comedy",Alex Thompson,"Doug Dravinkus, Chris Maher, John Wood, John Wood"
The Good Sam,2018,,,5.0,"Short, Drama",Joshua-Caleb Barton,"Waldemar Santos, Jamie Hopkins, Chauncey Chavis, Axel Aponte"
Saoirse's Sea Urchin,2018,,,15.0,"Short, Comedy, Drama",Florian Bertic,"Cesca Saunders, James Freeney, Kealan Busse, Valentin Louvier"
Layers,2018,,,18.0,"Short, Thriller",Valery Ortenberg,"Gary Babadjanov, Nofar Beni, Roi Boskila, Valery Ortenberg"
Entre Oscuros Sueños,2018,,,73.0,"Crime, Fantasy, Mystery",Chris Jiménez,"Elena Leonar, J.A. Pagán, Sandra Diéguez, Eugenio Martínez"
MIZeRY: Til' Death Do Us Part.,2018,,,10.0,Short,Lee Michael Mizery,"Lee Michael Mizery, Jessica Felice, Carlito, Shaylin J."
Witch,2018,,,60.0,"Fantasy, Horror, Thriller",Sergey A.,"Sergey A., Silvia de Satkliff"
JB Kesler's Jerichos Kitchen,2018,,,23.0,"Short, Thriller",Justin Kesler,"Alex Borbon, Jared Wayne Kesler, Roen Horn, Julie Matolo"
Snapshots,2018,63.0,TV-MA,95.0,Drama,Melanie Mayron,"Piper Laurie, Brooke Adams, Emily Baldoni, Christopher McVay"
As Evil Does,2018,,,,Thriller,Yolanda Buggs,"Bill Cobbs, Dorian Missick, Karl L. Sanders, Holgie Forrester"
War Dog,2018,,,32.0,"Short, Horror",John Powers,"John Posey, Paul Linke, Charlotte Evelyn Williams, Katja Gerz"
Holding the Rain,2018,,,2.0,"Short, Drama",Stewart Hannah,Simon Hipkin
Spirit Bakery,2018,,,1.0,"Animation, Short",Angus Beer,
Cheeni Kum Hai,2018,,,8.0,"Short, Comedy, Drama",Rajat Verma,"Meenu Kamaal, Mayanand Thakur"
Lemon Acid: Limunska Kiselina,2018,,,4.0,"Animation, Short",Bruno Rodak,Vid Vince
Dead Man's Line,2018,,Not Rated,98.0,Documentary,Alan Berry,"Tom Cochrun, David Coffman, Greg Dobbs, Michael Dugan"
Hit the North,2018,,,84.0,Drama,Daniel Sayer,"Rob Doyle, Adélaïde Leroux, Bill Fellows, Ron Delves"
Fishing For Attention,2018,,,11.0,Short,Ian Schrank,"Maggie Butler, Samuel R. Fuller, Ian Schrank"
The Easy Life,2018,,,23.0,"Short, Comedy",Hunter Laurich,"Allison Laurich, Hunter Laurich, Ben Yarborough"
House of Demons,2018,,R,90.0,"Drama, Fantasy, Horror",Patrick Meaney,"Kaytlin Borgen, Morgan Peter Brown, Dove Meir, Whitney Moore"
Onnen vuosi,2018,,,4.0,"Short, Comedy",Jevgeni Lensu,Veera W. Vilo
DAWN,2018,,,9.0,"Short, Action",Sebastian Caldwell,"Sebastian Caldwell, Christopher Mann, Adam Pheasant"
Once Upon a Time in the Wild,2018,,,67.0,"Documentary, Comedy",Tim Clark,"Simon Burgess, Susan Moran"
Pig Head,2018,,,7.0,"Short, Horror",Dylan Thompson,"Dylan Thompson, Daniel Walton"
A Very Odd Engagement,2018,,,15.0,"Short, Comedy, Horror",Gareth James,"Carma Sharon, Tim Tari, Bethany Chandler, Keith Thomas"
The Titan,2018,33.0,TV-MA,97.0,"Drama, Mystery, Romance",Lennart Ruff,"Sam Worthington, Taylor Schilling, Tom Wilkinson, Agyness Deyn"
Everyone Comes from Somewhere,2018,,,,"Short, Music",Charles Koppelman,Don Arbor
Wastelander,2018,,R,90.0,"Action, Adventure, Sci-Fi",Angelo Lopes,"Brendan Guy Murphy, Carol Cardenas, Jon Proudstar, Sian Vilaire"
Scorched Earth,2018,32.0,R,96.0,"Action, Drama, Sci-Fi",Peter Howitt,"Gina Carano, Ryan Robbins, John Hannah, Dean Jagger"
The Rose,2018,,,13.0,"Short, Drama",Kenn Crawford,"Dan Yakimchuk, Aidan Lee-Dadswell, Ida Donovan, Andrew Parland"
Greenspan: Indie,2018,,,,"Short, Music",Angel Kristi Williams,Greenspan
Austin Carp Hunter,2018,,,7.0,"Documentary, Short, Biography",Michael Scalisi,Austin Howd
Flatmates,2018,,,7.0,"Short, Horror",Paul Laight,"Melanie Gayle, Tilde Jensen, Georgia Kerr, Paul Laight"
Humans,2018,,,8.0,"Short, Drama",Alex Afshar,"Farid Zarrinbal, Rasha Khoury, Lars Hansson, Ewin Ghaderi"
Follow the Crows,2018,,,93.0,Thriller,Alex Secker,"Max Curtis, Daniella Faircloth, Craig Fox, Stu Jackson"
Tarantella,2018,,,,Mystery,Rabii El Jawhari,"Omar Ghofran, Hind ben Jebara, Younes Lahri"
Royal Affairs,2018,,,15.0,"Short, Comedy",Jade Li,"Thomas Bestvater, Angelique Cavallari, Viktoria Klimmeck, Kris Marshall"
Eastern Memories,2018,,,86.0,Documentary,Martti Kaartinen,"Frank Skog, Michael O'Flaherty"
The Chairs,2018,,,19.0,Short,Orkhan Aghazadeh,"Seyad Aliyev, Zulfiyya Nazar Mammadova, Iskender Abbasov, Reziye Bakhshiyeva"
Knockdown,2018,,,10.0,"Short, Drama, Sport",Valentin Linovickiy,"Albert Ismagilov, Vladislav Levsha, Olga Rybakova"
Crapaud,2018,,,,"Animation, Short",Edward Messa,
Chokher Tara Tui,2018,,,28.0,Romance,Sagar Sil,"Kakali Dan, Himika Das, Arka Roy, Samrat Roy"
Rubikon,2018,,,14.0,"Short, Drama",Zack Szabo,"Adam Belling, Jack Gleason, Rony Ozorio Jimenez, David Nguyen"
MeTheForce,2018,,,3.0,"Short, Music",Mayur Ramgir,Mayur Ramgir
Lakenfort,2018,,,12.0,"Short, Drama",Marlene Emilie Lyngstad,"Elvira Haaland, Emilie Nissen-Meyer, Harald Rosenstrøm"
The Misguided,2018,,,88.0,"Comedy, Drama",Shannon Alexander,"Caleb Galati, Steven J. Mihaljevich, Katherine Langford, Jasmine Nibali"
Eleven Days,2018,,,93.0,"Adventure, Drama, Family",Jaginder Singh,"Jit Singh, Sandra Hunter, Ron Arthurs, Chloe Brown"
Tariq,2018,,,12.0,Short,Daniel Nilsen Bjørneraas,
Hibiscus & Ruthless,2018,,PG-13,97.0,Comedy,Stallone Vaiaoga-Ioasa,"Suivai Autagavaia, Anna-Maree Thomas, Lafitaga Mafaufau, Yvonne Maea-Brown"
Postcards from March,2018,,,46.0,Documentary,Mauricio Rifo,"Asunta Barbens, Luis Blanco, Santiago Dopazo, Patrizia Manso"
Chup,2018,,,10.0,"Short, Thriller",Sidharth Goutam,"Nishikant Nayak, Ashutosh Panda, Elina Pattnaik"
For Hate's Sake,2018,,,7.0,"Short, Western",S.W. Rand,"Matthew Cassar, Rob Grgach, Catherine Luciani, Anthony Urillo"
La Ruche,2018,,,10.0,"Short, Drama",Oona von Maydell,"Lana Cooper, Julius Feldmeier, Daniel Fripan, Marek Harloff"
Braven,2018,61.0,R,94.0,"Action, Thriller",Lin Oeding,"Jason Momoa, Garret Dillahunt, Jill Wagner, Stephen Lang"
Just Drifting Along,2018,,,76.0,Comedy,Jan Frers,"Lisa Shari Böttcher, Jannik Büddig, Martin Geisen, Jörn Peter Grosse"
A Kid Like Jake,2018,60.0,R,92.0,"Drama, Family",Silas Howard,"Claire Danes, Jim Parsons, Octavia Spencer, Priyanka Chopra"
Half the Picture,2018,76.0,TV-PG,94.0,Documentary,Amy Adrion,"Ava DuVernay, Brenda Chapman, Caroline Libresco, Catherine Hardwicke"
Out,2018,,Not Rated,9.0,"Short, Drama",Charlie Schultz,"Jamie Lee-Hill, Nick Bankiyan-Monfard, Gina Holloway"
Stigma,2018,,,10.0,Short,Helen Warner,Helena Bereen
Assassination Nation,2018,56.0,R,108.0,"Action, Comedy, Crime",Sam Levinson,"Odessa Young, Abra, Suki Waterhouse, Hari Nef"
Agua Viva,2018,,,7.0,"Animation, Short",Alexa Lim Haas,Mengda Zhang
On Her Shoulders,2018,84.0,,95.0,"Documentary, Biography",Alexandria Bombach,"Nadia Murad, Murad Ismael, Simone Monasebian, Michelle Rempel"
True Musicians,2018,,,,Documentary,,"Orsolya Kaczander, András Keller"
Se vi picchia non vi ama,2018,,,,"Short, Crime, Drama",Cosimo Scialpi,"Stefano Simondo, Lidia Cuppone, Gaetano D'Amore, Antonietta Manca"
Home Shopper,2018,,,,"Short, Comedy, Drama",Dev Patel,"Sophie Kargman, Armie Hammer, Thomas Sadoski, Amelia Brain"
Night Comes On,2018,79.0,,86.0,Drama,Jordana Spiro,"Dominique Fishback, Jill Rene, Tatum Marilyn Hall, Nastashia Fuller"
Lijana,2018,,,27.0,"Short, Adventure",Ivan Djurovic,"Nebojsa Ljubisic, Aron Bugarski, Vukan Gajicki, Mateja Dimitrijevic"
Blindspotting,2018,77.0,R,95.0,"Comedy, Crime, Drama",Carlos López Estrada,"Daveed Diggs, Rafael Casal, Janina Gavankar, Jasmine Cephas Jones"
Private Life,2018,83.0,R,123.0,"Comedy, Drama",Tamara Jenkins,"Kathryn Hahn, Paul Giamatti, Gabrielle Reid, Amy Russ"
Vistazo Orgullo^Pride,2018,,,4.0,"Short, History",Fernando Carasa Minguito,
Thanks a Lot Duchamp,2018,,,,Short,Ella Carey,Mark Mitchell
Malabar,2018,,TV-14,17.0,"Short, Drama",Freddy Rodriguez,"Elaine del Valle, Miles Evan Windsor, Alvaro Martinez, Coco Valencia"
Istorii napisannye krovyu,2018,,,67.0,"Drama, Horror, Sci-Fi",Sergey A.,"Sergey Lesovoy, Sergey A., Ivan Yakovidish, Evgeniy Mishukhin"
Children of Ignorance,2018,,,8.0,Short,Rosalie Ridler,"Ana Isabel, Giustino Della Vedova, Rob Novakov, Tony Ting"
65 Million Years Ago,2018,,,3.0,"Animation, Short",Paul Johnson,Clint Gamble
Way Back in the Woods,2018,,,60.0,"Drama, Horror, Thriller",Augustine Garcia,"Chinin Buck, Kathey Castillo, Kathy R. Castillo, Brian Furr"
Nice Very Nice,2018,,,16.0,"Documentary, Short",El Kheyer Zidani,Boutria Ramdan
Space,2018,,,3.0,"Short, Comedy",Margaret Anderson,"Erin Walsh, Marcello Davis"
M.I.A. A Greater Evil,2018,,TV-MA,86.0,"Drama, Horror, Mystery",Abishek J. Bajaj,"Valerie Bentson, Lâm Vissay, Sarah Ball, Mark Matula"
Rex,2018,,,,Short,Nicki Podesta,"Matt Gagliardi, Anthony Severance"
Bulldoze,2018,,,7.0,Short,Jake Earwaker,"Bob Bell, Harvey Emerson, Jonathan Leach"
J'ai osé,2018,,,,"Short, Comedy",Sullivan Damascene,"Sullivan Damascene, Bahi Ben Hamani, Makima Noé"
The Crow's Head,2018,,,,"Short, Horror, Mystery",Pete Berger,"Pete Berger, Patrizia Yanguela"
Better,2018,,,,"Short, Music",Marc Morgan,"Lauren Albert, Kace Ayres, Brittany Belz, Marek Radin"
TRANCE,2018,,,20.0,"Short, Drama",Gnanadas Kasinathar,"Dharshi Aloysius, Thevanayagam Aloysius, Vethanayakam Anuja, Gnanadas"
Hosa Prem,2018,,,135.0,"Comedy, Romance",Pramod Sahoo,"Shree Brojen Bora, Kalpa Jyoti Gogoi, Tapashree Kalita, Manas Sarma"
That's Good: A Space Odyssey,2018,,,4.0,"Animation, Short, Fantasy",Amin Hadjbabaie,
Wuthering Heights,2018,,,7.0,"Animation, Short, Drama",Shirin Ashtari,
Hexenjagd,2018,,,6.0,"Short, Mystery",Thomas Bernecker,"Joris Schwarz, ShiSha Rainbow, Vanessa Most"
Ronaldo by Recep Bozgoz,2018,,,12.0,"Short, Drama",Recep Bozgöz,Ayhan Durmaz
#CrowdfundingTheMovie,2018,,,29.0,"Documentary, Short",Anna Kozlova,
Enter the Zoot Suit Riot,2018,,,14.0,"Short, Musical",David Fesiuk,"Samuel Hooper, Raymond Masciota, Zane Ramey, Sophie Scott"
Memory,2018,,,8.0,"Short, Sci-Fi",Joe Carabeo,Madelyn Farris
BOOK OF DREAMS,2018,,,7.0,"Short, Fantasy",Scott Mullins,"Atlanta Johnson, Scott Mullins"
The Source Park,2018,,,90.0,Documentary,Tom Pickard,"Richard Moore, Marc Moore"
Krona 3 the Froggy Case,2018,,,80.0,"Animation, Fantasy, Horror",Federico Tarántola,"Luis Margani, Miguel Araña, Gerardo Baamonde, Carlota Berzal"
La derrota,2017,,,98.0,Documentary,Juan Mompeán,"Miriam Olombrada, Juan Mompeán, Ramón García del Real, Juan C. Hernández"
Red Lopez,2017,,,15.0,"Short, Western",Hadleigh Arnst,"Amy Arburn, Justin Campbell, Julien Cesario, Craig Clyde"
Operation 747,2017,,,,"Short, Drama",Mohammad Esmaeili,Siamak Ehsaii
Give me the Sun,2017,,,108.0,Documentary,Zhongyi Ban,
The Racer,2017,,,,Action,Vicky Kadian,Vicky Kadian
Creature in the Woods,2017,,Not Rated,80.0,"Action, Adventure, Horror",Leroy E. Bryant II,"Freemon Jackson, Jessica Pearson, Alex Pappaterra, Bob Balick"
SURPRISE!,2017,,,8.0,"Short, Comedy",Meghan Westelmajer,"David Haysom, Susan Rowland, Cameron Chapman, Jeffrey D'Silva"
The Blue Rider,2017,,,,"Animation, Short",Ileana Andrea Gómez Gavinoser,
Knock Knock,2017,,,6.0,"Short, Thriller",Caleb Noel,"Caleb Noel, Julie Ramos"
The Reapers,2017,,,4.0,"Short, Music",Hector Suñol,"Chris, Jesse Keen, Nina Osegueda, Josh Schwartz"
Love Canal,2017,,,17.0,Short,Elsa Brès,"Adrien Chevrot, Régina Demina"
Strasno mesto,2017,,,40.0,"Short, Horror",Milance Markovic,"Goran Lekic, Tamara Antic, Radmila Nikolic, Dragan Ivankovic"
Grazing the sunny grass,2017,,,,Documentary,Natacha Boutkevitch,
A Dream of Dolls Dancing,2017,,,3.0,"Animation, Short",Christiane Cegavske,
The Just,2017,,,14.0,"Short, Drama",Kandace Cornell,"Sean Small, Michael Linowitz, Frederick Lawrence, Han Safar"
Family: A Love Story,2017,,,18.0,"Documentary, Short",Sarah Prikryl,"Jesse Mackey, Hope Shapiro"
Scooting: The 200th Anniversary,2017,,,35.0,"Documentary, Short, Comedy",Lucas Abreu,"Luke Breymaier, Kurt Metz, Travis Zimmerman"
Nomadic Doctor,2017,,,38.0,Documentary,Mart Bira,"Doyod Erdenechuluun, Erdenebaatar Janzandulam, Munkhbadrakh Luvsanchultem, Bira Tsedevsuren"
City,2017,,,4.0,"Short, Music",Sandra Boynton,
Wake Up Alone,2017,,,109.0,Drama,Rathan Krueger,"Anita Nicole Brown, Anne-Marie Christine, Ferria Gong, Kimberly Gosnell"
Cake,2017,,,5.0,"Short, Comedy, Drama",Revell Carpenter,"Revell Carpenter, Sydney Sabean"
"Theo, além da liberdade",2017,,,90.0,Drama,Julio Quinan,"Jackson Antunes, Roberto Garcia Márquez, Alessandro Ramos"
Full Circle Project,2017,,,7.0,"Short, Adventure",Weston Walker,"Grant Korgan, Shawna Korgan, Adam Freeman"
Slippages Grace,2017,,,10.0,"Animation, Short",Kathy Smith,Eric Gudas
Hogwash,2017,,,,Comedy,,"Jordon Michael Corbin, Susie Labry, Eric Schexnayder, Thomas Alan Williamson"
Bésame,2017,,,15.0,"Short, Romance",Jimmy Cuong Duong,"Olivia Stiefel, Avery Wada, Mack Wei"
Welcome to Normal,2017,,,28.0,"Documentary, Short",Kellan Hayley Marvin,
The Neighbors,2017,,,7.0,"Short, Drama",Henry Alex Rubin,"Stanley Peternel, Nicole Gorbacheva"
Dedication,2017,,,15.0,"Short, Drama, Fantasy",Tyna Ezenma,"Lawrence August, Raúl Ramón Bencomo, Laura Bollinger, Bryan Keith"
The Liquor Store,2017,,,,"Short, Comedy",Mark Stockwell Jr.,"Scott Deckert, D.J. Simmons, Michael Sun Lee, Adam Weber"
Little Joe,2017,,,17.0,"Documentary, Short",Ned Donohoe,
Chris Neptune's Magic,2017,,,5.0,"Animation, Short, Fantasy",Adam Chinoy,"Zack Arenstein, Evan Dahan, Rich Fischer, Cara Ganski"
War for Lina,2017,,,8.0,"Short, Drama",Toofan Habib,"Jeanette Aguirre, Justin Conrow, Eliezer Ortiz, Valerie Ramos"
Part Ways,2017,,,11.0,"Short, Drama",Guus Schuijl,"Linde van Dorp, Slawomir Miska, Rafal Sawicki, Grzegorz Czorny"
Suburban Drug Lords,2017,,,91.0,"Comedy, Crime",Joe Malone,"Joe Malone, Tom Wilson, Gib Von Bach, Pat Cioffi"
Ridgway and Jones: Death Begins in the Colon,2017,,,,,Richard Termini,"Jackie Jones, Samantha Ridgway"
Tears of Blood,2017,,,23.0,"Short, Action, Crime",Patrick Rozenfeld,"Crash Buist, Shawn Cahill, Ernesto Chaverri, Michael Edwards"
Levers,2017,,,,"Short, Drama",Paul Bloomfield,"Ruari Cannon, David Richter"
ScreenThru,2017,,,3.0,"Short, Comedy",Pat Maloney,"Ezio Bondi, Michael Chan, Daniel Coz, Andrea Davis"
The Tragedy of Jimmy Jimmy Kates,2017,,,,Drama,Carmen Espinoza,"Charles Philip Campuzano, Emilie Doering, Carmen Espinoza, Heather Flores"
Beijing Girl,2017,,,,"Short, Drama",Weiwei Si,
En Bloc,2017,,,10.0,"Short, Crime, Drama",Nick Dugan,"Billy Breed, Christopher T. Wood"
Teng,2017,,,,"Short, Drama",Sabrina Poon,"Jaime Chew, Kelly Lim, Naomi Yeo, Cana Yu"
The Dumb Cat,2017,,,15.0,"Short, Drama",Cipolletta Paolo,"Alessia Cinguegrana, Gianfranco Gallo, Lucia Rocco"
Roommates,2017,,,5.0,"Short, Comedy",Petra Chlpanova,"Jack DeVille, Makaela Shealy"
Still Hungry,2017,,,13.0,"Short, Horror",Rowan Russell,"Elena Campbell-Martinez, Madeleine Coghlan, Boone Grigsby, Jean Iavelli"
Ambiguous,2017,,,11.0,"Short, Drama",Eric Cotti,"Arash Shahabi, Eric Cotti, Jack Adams, Chelsea J. Smith"
Thing Whore,2017,,TV-MA,,Short,Canaan John Dewey,"Eddie Robinson, Alberto Davila Jr."
Reverallium,2017,,,22.0,"Short, Drama",Ryan Alexander Huang,"Justin Chien, Sheena Midori"
Die Show,2017,,,,Sci-Fi,Alexander Nowak,"Julien Francis Bisesi, Christian Bäucker, Claude Bäucker, Fanny Bäucker"
Our Country,2017,,G,6.0,"Animation, Short",Mayra A. Flores,
Will o' the Wisp,2017,,,3.0,Short,Laura Lucic,
Karma,2017,,,20.0,Short,Piotr Jelen,"Gabriela Muskala, Andrzej Grabowski, Janusz Chabior, Ireneusz Czop"
"Karavai, Karavai",2017,,,18.0,"Short, Drama",Alisa Tritenko,"Anna Kotova, Dmitriy Kubasov, Maria Rasskazova"
Sorrows' Realm,2017,,,14.0,"Short, Drama, Fantasy",Xavier Martinez,"Brian Froud, Lanisa Dawn, Sean Curley"
Still Highland,2017,,,6.0,"Documentary, Short",Anna Salinas,
Desatada,2017,,,13.0,Short,Holger Enck,Nathalia Galgani
A retirada para um coração bruto,2017,,,15.0,"Short, Drama, Fantasy",Marco Antônio Pereira,Manoel do Norte
Harvest,2017,,,10.0,"Short, Horror",Munir Malik,"Alex Appleby, Adam Redmore, Ruby Thomas"
Janie,2017,,R,15.0,"Short, Horror, Thriller",Quin Davis,"Tiffany Ann B., Ty Anaya, Molly Mitchell, Edie Rosen"
Linda & the Worm,2017,,,14.0,"Short, Drama, Fantasy",Nicholas Motyka,"Juliet Garrett, Eve Lindley, David Rysdahl, Matt Seely"
Unnatural Abstractions,2017,,,7.0,Short,Danielle Oke,"Sabrina Chiemeka, Jamie Hogarth"
Aíma,2017,,,4.0,Short,Alexis Nicole Williams,Erin Astin
Lost & Found: The True Hollywood Story of Silver Screen Cinema Pictures International,2017,,Not Rated,86.0,Documentary,Jason Bailey,"Jason Bailey, Michael Gingold, Grady Hendrix, Glenn Kenny"
Idol Boyz,2017,,,12.0,Short,Charles Emery Coderre,"Michael A. Cheng, Mike Li, Gordon Sien, Andy Wong"
A Confluence of Understanding Korean Events,2017,,,5.0,Short,Marvin Choi,Marvin Choi
Heart Coming Home,2017,,,53.0,Documentary,Sally Goldrick,
Conquistadors,2017,,,15.0,"Short, Drama",Ranbir Sidhu,"Jolly Abraham, Bhavesh Patel"
A Tragedy,2017,,,,"Short, Comedy",Timothy Simons,"Tracy Letts, David Pasquesi, Timothy Simons"
Mariposas,2017,,,3.0,"Short, Fantasy",Adrian Carey,"Miguel Belmonte, Rocco Salata, Alice Chandler Hume, Teddy Kalin"
Winter's Bloom,2017,,,,"Short, Comedy, Drama",Stephanie Couture,"Catherine Hood, Brian Frank, Tom Nacy Warner, Mu-Shaka Benson"
Perspective: Abused Mind,2017,,,12.0,"Short, Mystery, Thriller",Yassin Gabriel,"Marwi Kishk, Mohammed Khairy, Sherif Mounir, Saif Refaat"
David,2017,,,7.0,"Short, Drama",TJ Hemmen,"Sonya Khazaal, James Milton, Faith E. Nolan, David Stoker"
Mario: High Heels with the History,2017,,,,"Comedy, Drama, Romance",,"Andressa Bottino, Sandra Calaça, Stefan Cardoso, Juliana Cidade"
Uriel,2017,,,8.0,"Short, Sci-Fi, Thriller",Stan Campbell,"Stan Campbell, Richard Galea, Chrissy Mae Valentine"
Flood,2017,,,8.0,"Animation, Short",Dimitar Velev,Bailee MyKell Cowperthwaite
Multiverse Dating for Beginners,2017,,,13.0,Short,Kelly Tatham,"Sara Canning, William Vaughan"
Dirty Freedom,2017,,,24.0,"Documentary, Short",John Masters,Heather Thomson
Blue,2017,,,3.0,"Short, Drama",Rosie Westhoff,Sarah Westhoff
Ace,2017,,,,Short,Morgan Kahn Nichols,"Mirirai Sithole, Olivia Boreham-Wing"
Kafka & I,2017,,,20.0,Short,Vivek Kumar,"Arpita Banerjee, Sandeep Jain, Momita Jaisi, Alefia Kapadia"
High Energy,2017,,,,"Short, Drama",Peter Faint,"Sunny Chen, Jared Ager-Foster, Kai Kennedy, Robyn Ross"
Psychic Attorney: I Know Who Killed Me,2017,,,,"Short, Mystery",Shihyun Wang,"Danielle D, Jacquie Drew, Janey Kolina"
Destroyer,2017,,,,"Short, Drama",John Byron Hanby IV,"Emily Baker, John Byron Hanby IV, Brent Jerell Reed, Benjamin Bays"
La Calvita,2017,,,5.0,"Short, Fantasy",Giulia Jimenez,Karina Rovira
Little Red,2017,,,19.0,"Short, Action",Anthony B. Harris,"Derrick Barrett, Desi Giles, Anthony B. Harris, Leslie Morales"
On/Off,2017,,,,"Short, Thriller",Calif Chong,"Lee Brookman, Eileen Skopnik"
Let Them Die Like Lovers,2017,,,15.0,"Short, Sci-Fi",Jesse Atlas,"Angela Lewis, Mustafa Shakir, Bradley Fisher, Jill Awbrey"
"Sweet Dreams, Momma",2017,,,,"Short, Drama, Family",Dianne Kirksey,"Ella Joyce, Marie Thomas"
DollHouse,2017,,,1.0,"Animation, Short, Horror",Paul T. McGilvray,Douglas Spafford
Disobedience or How to Train Fighting Roosters,2017,,,86.0,Thriller,Tuchí Ortiz,"Esteban Unigarro, Eduardo Ortiz, Brayan Mulato, Ana Tumal"
Ephemera,2017,,,7.0,"Short, Drama",Roc Morin,"Tjasa Ferme, Maera Daniel Hagage, Madalyn Knebel"
Mississippi Madam: The Life of Nellie Jackson,2017,,,81.0,Documentary,Mark Brockway,
Pisser,2017,,,9.0,"Short, Comedy",Van Jensen,"Mia Jackson, John Kap, Wes Kennemore, Nick Vatterott"
Delivery,2017,,,10.0,"Short, Drama, Horror",Diego Migliorini,"Valéria Marchi, Maurício Mascarenhas, Rabih Aidar"
Ming and Ming,2017,,,95.0,"Drama, Family",Billy Hu,
Hard Yakka,2017,,,100.0,Drama,,"Robert Douglas, Pasquale Perrard, Tane Powell, Bryce Reimann"
He Watched a Lot of Movies: The Aaron Jackson Story,2017,,,29.0,"Documentary, Short",Chad Dooley,"Aaron Jackson, Robert F. Glass, Aaron Gault"
Squirrel,2017,,Not Rated,,"Short, Comedy",Thalia Drori,"Simha Danielle Kadar, Alexander Michuda, Emma Johnson, Terrance Jackson"
Málo lásky,2017,,,50.0,"Comedy, Drama",Simon Holy,"Jirí Capka, Vladimír Kratina, Markéta Tannerová, Johana Tesarová"
The End,2017,,,4.0,Short,Aisha Schliessler,Kate Butler
Mrs. Watson's Room,2017,,,10.0,"Short, Drama",Zachary Gallagher,"Leandro Bilello, Ted Harvey, Jenny Isenberg, Quinn Saunders"
The Human Face,2017,,,,,,
Our House For the Weekend,2017,,Unrated,57.0,"Documentary, Comedy, Drama",Ryan Balas,"Dee Herlihy, Ryan Balas"
After,2017,,,75.0,Drama,Ben Brown,"Ben Brown, Jennifer Brown, Michelle Brown, Shaun Brown"
Meat,2017,,,7.0,"Short, Comedy, Crime",Samantha Nell,"El Anthony, Chris Bone, Claire Gordon-Webster"
"Sailor, Sufi, Spy",2017,,,54.0,Documentary,Raeshma Razvi,Robert Darr
Roommates,2017,,,,Thriller,Shailesh Baliram Narwade,
Stealing Love,2017,,,11.0,Short,Peter Quinones,"Lucy Miller, Billy Thomas Myott, Alicia O'Brien, James Dippo"
